Name,Rating,Comments
Rumail, 1 star ,"I visited on 23/12/20 and ordered the ""New Philly Steak Sandwich"". It tasted alright, however the next day I had severe food poisoning and vomited over 6 times. I tried to call them but no one picks up, they really need to improve their hygiene - absolutely HORRENDOUS. I spent full 2 days in bed recovering all due to that burger!"
Anoosh Zain, 5 stars ,"Delicious, fresh flavors. If you want to go to a place in Pakistan and gobble their salads - you know it’s truly amazing! Wish they were in Lahore."
Hira Dar, 3 stars ,"I used to love their steak and poached eggs. I don't know if the chef changed today or what but it was very different today. You can see that instead of spinach and cheese, the steak filling had mushrooms and jalepenos.
Not what I was expecting"
Vipul Modi, 4 stars ,"Very family friendly and a lovely place to come with the family for Sunday brunch. Highly recommend. Thank you for the good service.

Ordered brunch - orange juice with omelette, channa masala and paratha - it was delicious!"
Hassan Ur Rehman, 5 stars ,amazing breakfast menu with classy ambience
Affan Ashraf, 5 stars ,Went there for Sehri. Awesome experience. A mix of traditional desi food stuff and Unconventional food items. A wonderful place to sit and have a chit chat along. Small place but managed professionaly.
shan ghouri, 3 stars ,"What: Aftari Buffet at Street 1 cafe 🍽️
➡️What: So many things in aftari, main course and desserts. I'm going to write brief review of what I like and what I didn't!
▶️Pakora (2/5) too salty
▶️Crepes (4/5)
▶️Cottage Cheese, Mushroom, Corn mini-Samosas (4/5)
▶️Asian Style Crispy Vegetable Roll
▶️ Dahi Baray (4/5)
▶️ Vegetable Patties (5/5)
▶️Vol au Vent (5/5)
▶️Quiche (3/5)
▶️ Sandwiches
▶️ Hors d'oeuvre (choice of bread. brown, white & whole wheat) (didn't try)
▶️Channa Chaat (didn't try)
Salads
Salads (4/5)
▶️ Hummus (too tangy) (2/5)
Main Dishes
▶️Tomato Soup (3/5)
▶️Honey Mustard Beef (4/5)
▶️Chicken Chili Dry (5/5)
▶️Vegetable Fried Rice (4/5)
▶️Chicken Lasagna (2/5)
▶️Fried Fish (1/5) smelled bad
▶️ Fettuccine Alfredo (3/5)
▶️Moroccan Chicken (3/5) too salty
Drinks & Dessert
▶️ Strawberry Juice (One glass per person) (5/5)
▶️ Tea/coffee
▶️ Desserts (5/5)
Water wasn't included it the deal. My overall experience was okay, not something that I expected in this price.  Specially lasagna and fish were such a put off..
However some of the items like Chicken Chilli dry, patties, osyter beef and DESSERTS were really good. Dessert was the best of part of buffet.
➡️Overall experience: 6/10
➡️Value for money: 5/10
➡️Price: Rs. 2195 plus tax per person( Rs.2500 per person)"
Jin Jhon, 5 stars ,Awesome experience. It has quite a good service a clean environment. Value for money. Enjoyed alot
Awais Ashraf, 4 stars ,"Menu is perfect, incorporating something for every taste bud.
Service was also commendable and the staff was very accommodating.
Every meal we enjoyed was yummy & flavourful.
Brownie Skillet was too good.
Will be back definitely."
M.G. A, 4 stars ,Good n cool olace
Seher Mohsin, 5 stars ,"So I went to Street 1 expecting not much to be frank but I was blown away.
They have a really great breakfast.

I absolutely adored the shredded beef brisket! From the sauce to the egg and the beef. The beef was fantastic!

The omelette was so good we had it without any bread. The juices were also fresh and really balanced out the food.

I don't particularly like the biscotti but my friend really did so I'm just assuming that's a personal taste thing because everything else was great."
rash ra, 5 stars ,"Food is good, worth trying, serving is good for the price"
Abid Hussain, 3 stars ,"They have somewhat improved but their chicken mushroom cannelloni remains a constant disappointment. Very mediocre.
Service on Friday lunch hour was okay."
Aiman Saeed, 5 stars ,"Food quality is really good. Interior exterior is beautifully done. Staff is well trained.

Free appetizers are lovely. Their panini is really good and so are the burgers and chicken strips.

Also the wings and not to forget the lovely hit me cake"
Nadya Sarver, 4 stars ,"When you are in #islamabad, lunch at #Street1Cafe is must best #fishandchips #icecreamandchocolate #winterlunches #Foodreviews #islamabad food"
Haroon Arshad, 5 stars ,"Very good taste but quantity is little bit less, over all 8/10"
Syed Suhaib Zia, 5 stars ,Amazing place to visit.
Usama Ibrahim, 5 stars ,Amazing dine in place. It's a bit expensive but food is so delicious. Lovely ambiance and people were of great service
Waqar Shah, 3 stars ,Very beautiful sitting area and the ambiance. Not much space for parking. They maintained and decorated the place quite well. Food is tasty but serving is quite small for the price they are charging. Service is a bit slow. They need to uplift in these two things as they are one of the best eating places in town.
Tajammal Ilyas, 5 stars ,Good menu selection. Good taste ...Nice ambiance
Vision Unlimited, 5 stars ,"The cafe is pure love. The food is amazing. The service is prompt and the overall feel and ambiance is very welcoming. Placed in a market known as Kohsar Market in F 6 sector of Islamabad, Pakistan, that has multiple cafés in one place. A must eat-at place for food lovers when in Islamabad"
Syeda Shaista, 4 stars ,"I love their desserts, especially hit me skillet, Italian chicken was average so the beef panini"
Mohsin Taj Khan, 4 stars ,"Ambiance is great, food presentation is awesome. Though taste could be more improved. Still, great Job.."
Asma Aziz, 4 stars ,The ambience is really good. Hi tea was fine but a great place to sit and enjoy and have a chit chat with friends.
Mian Umer, 4 stars ,"One of the must visit spots if your stopping by for breakfast at Islamabad ❤️
The variety of breakfast options just never ends. From Desi to Continental to English they have gotten it all covered for your tastebuds ❤️
Lavishly served and appealing to the eyes and the soul for people like me who love decor and presentation ❤️
We ordered
Philly steak mushroom omelette 9/10.
Stuffed chicken mushroom crepe 10/10.
Nutella french toasts 9/10
And extra sides of bread, butter and coffee.
A well fed start to the journey ❤️"
Sikander Azam, 4 stars ,"Ordered steaks, both T-bone and Tenderloin. T-bone was nice and juicy as expected. Tenderloin was also good, but the sauce was very bland. The main main issue was that the menu said seasonal vegetables, which just mean 10 French beans. They could have added Carrots, Cauliflower, Zucchini, Brocoli, or anything else one expects from a high end restaurant, but it was a disappointing. Mashed potatoes were quite bland as well, need to be cooked more and some seasoning or addition of herbs ( like paisley or oregano) could have added to the flavour. Fish was cooked nicely and not oily, but the quality of fish used was average. The music was all mixed up and did not follow a certain theme and did not add to the ambience. The interior of the restaurant does not follow a theme either. Seems like it was added from time to time. Furniture isn't bad, but tbe floor of the place is dated, quite dull and a big turn-off. Overall, it was OK. I would rate the place average, and food above average, but then staff good, as they were quite courteous and willing to listen and oblige."
hamad ul hassan, 3 stars ,Expensive. Taste not worth the money spent
The National Standard, 5 stars ,Excellent menu. Superb taste
Darwaish, 1 star ,"Poor sitting arrangement, uncooperative staff, specially the person managing and supervising the sitting arrangement is so rude. Poor people poor place, should not visit again."
farooq khan, 5 stars ,Nice place especially their Hot chocolate
Qasim Qayyum, 4 stars ,Good quality food. Nice environment to chill..specially open air...  Recommended.
Muhammad Laeeq Hassan, 4 stars ,"I have found their food and service level as one of the best in Islamabad. Due to current SOPs of dine-in in open areas, you may have to wait for the table a little though. This place is a bit pricy though as compared to other such entries in Islamabad. You can get 20% off, if you have a Faysal Bank card though (please do ask about this discount from restaurant before you are visiting as I availed it on the day of posting this review. It may be available afterwards)."
Safi Ghauri, 3 stars ,"Great location with average food
Its a safe place to come and enjoy. The ambience is great and they have lovely outdoor seating. The food is good but nothing that will blow your mind. Its a great place but just not worth the money"
Fahrettin Onuralp Mescigil, 4 stars ,One of the best places to spend time and eat a good food in Islamabad
Niaz Ahmad, 2 stars ,"Yesterday we had pepper steaks but was not upto the standard.
They need to improve or remove it from the Menu."
Godwin Austen, 1 star ,"Seriously the most overrated place in Islamabad. The food was below average, the place was noisy, and even the ambiance, that so many people rave about, was not that good, and the prices are off the charts for what you are getting. I don't know how they rack up so many positive reviews, but not worth it"
Amna Mariam, 3 stars ,This place is over priced and surely isn't for breakfast. Otherwise ambiance is on point!
Mehma Kunwar, 4 stars ,I absolutely loved the breakfast and the drinks except for cold coffee which wasn't nice and was extremely expensive.
Fatima Ali, 3 stars ,"Okay food, expensive, but great ambience"
Naem ali, 4 stars ,Italian Chicken ans street 1 chicken is good.
Muhammad Nawaz Khan, 5 stars ,"Amazing, delicious 😋 and not so hard on pocket"
Shaibzada yasir, 5 stars ,Nice food.
Mahnoor Kashif, 5 stars ,Loved the peaceful ambiance and the food was fresh and delicious.The service was quick as we only waited for almost 10 mins after placing the order.Chicken with taragon and mushroom sauce and street 1 chicken were good.And the Lotus Cheese Cake there is a must try.Do not miss it guys!
Hashim Ali, 5 stars ,"Best place, ambience, food."
Rana Hamza, 4 stars ,"I like this place! Whenever I come to Islamabad, I definitely opt-in here for breakfast, lunch or dinner depending on the time.

It is a jewel in Kohsar Market!

The staff is polite and well trained. The ambience is serene and peaceful.

They have a diverse variety in menu. The food is delicious!"
Asif Naseer, 4 stars ,Nice ambience. Welcomed by food basket. Ordered hi tea platter and tenderloin steak which arrived in 20 min. High tea platter was good. Cakes were fresh and delicious. Shaslik seemed a bit old. Steak was average and nothing special about it.
A. Niazi, 4 stars ,I really like their breakfast. It was yummy. Omelettes were tasty with good serving.
S Safdar, 4 stars ,Love the scrambled eggs here!
Asma Naveed, 4 stars ,This place never disappoints 🙂
Fearless, 4 stars ,Loved the Panini pressed Sandwich. Fries are really worth the taste
Ahmed Hussaini, 5 stars ,"Loved the food today. Had nachos for appetizer. Street 1 chicken, Tandoori fish, Thai chicken and Beef steak with pepper sauce. Followed by brownie and ice-cream for desserts. Good value for money. Surprisingly, it wasn't crowded despite the weekend factor."
S Ahmad, 4 stars ,"Street 1 Cafe is one of my favorite places for breakfast or dinner. I like the upscale location and the cosy atmosphere.  Despite the location, prices are reasonable.  Staff is business like and professional.  Today we visited for family breakfast.  It was worth it and everyone loved it. Will come again."
Qamar Zahid, 5 stars ,Only tried Mocha and loved it. plus the seating and service was awesome. Must visit place if you're around F6 area.
Alina Dental surgery, 4 stars ,Great food and ambiance.
Shah Amir, 5 stars ,"Best food place in Islamabad. I always go there when in Islamabad. Its open from breakfast till dinner and late. I have had all three meals from the this place and it never disappoimts. The breakfast is superb, lunch and dinner menu is …"
Haider Ali Haider, 4 stars ,Very good place. Italian chicken is excellent.
kaleem ullah, 5 stars ,"Situated in Kohsar Market at Margalla foothill,  this place offers good domesticated fast food options with cup of Coffee or Tea..... Prices may be on upside.... So may be it becomes a downside... Make your choice...nevertheless give it a try....."
Ali Butt, 4 stars ,"Food is good
Rates are a bit too high
The ambience could be improved. The kitchen noise can be beard in the dinning area, which is not good for a cafe of this stature."
rehan aslam, 5 stars ,"Oh my, this place has my heart .
Every single item of their menu is worth giving a try ."
Seher Khan, 4 stars ,"Nice Environment,Great Taste..Prices are bit high !"
Farhat Hassan, 5 stars ,It's really good cafe
Talha Ali, 1 star ,"Very Average food taste, below average food quantity as compared to price and service not even close to professionals."
Dr Tauqeer Ehsan, 5 stars ,"Went to this place during week days. Environment was very pleasant. Two types of seating area. Out door and indoor. I preferred indoor due to weather. Breakfast and brunch both were available. Because I checked in at overlapping time. Special weekend desi breakfast is also available. I ordered Italian dishes. One was beaf and other was chicken and cold coffee. Complimentary starter bread was served with butter and olive oil. Food came on time. It was really delicious. Coffee was average.
Overall experience was excellent. Really recommended for families."
ZaZu, 5 stars ,Good place and good quality food
Lamiaa Rizwan Khan, 5 stars ,I never get bored of this cafe. The chef and the whole Team are simply amazing and know their work well. Amazing teamwork showed by the servers. Hats off to the whole team for delicious & scrumptious food and impeccable service & for …
Musa Irfan, 5 stars ,Great place. Lively ambiance. Lovely food.
Sarwat Rizvi, 4 stars ,"Airy ambiance and flavourful food, this place is an amalgam of flavours and peace. Beautiful seating area inside out."
amir sattar, 5 stars ,"Delicious food, loved it"
asma younas, 5 stars ,"Street1 never disappoints, best Hi-tea in town, very good in taste, all the items in platter were at their best, value for money, nice ambiance, crowd is also decent, staff is very friendly and professional, must try while in Islamabad :-)"
Rizwan Sohail, 4 stars ,One of the best molten lava cakes I had and great waffles
Malik Awan, 3 stars ,"The steaks were good but as far as the pasta and white sauce is considered they seriously need to improve that.
Secondly, the menu should include some platters and deals.
Also the place is congested though the interior is good. Moreover …"
Umer Sam, 5 stars ,Lovely place
Zuhair ZZ, 5 stars ,Been here two times and the restaurant hasn’t failed to impress me. The restaurant is very clean and hygiene is good. I ordered steak (well done) and the steak was cooked thoroughly and properly. Cooked vegetable was served with the steak. …
Muhammad Hamza, 5 stars ,"Located in Islamabad's prime location, restaurant offers a variety of food and beverages. They use to have cosy and intimate indoor seating and refreshing outdoor seating (which are temporarily closed due to Covid-19). Staff is welcoming …"
Hassam A. Mir, 5 stars ,The deserts are awesome. Skillet Brownie is excellent. Make sure to get your phones ready to record the serving.
Aseefa Shabbir, 5 stars ,I simply love it and there pull over dessert
Shoaib Ashraf, 5 stars ,Nice ambience good place
Akber Shakil, 4 stars ,Food was good
Mark Twain, 5 stars ,"Excellent place for food and entertainment. Lovely ambiance. Clean area.
European atmosphere. High elite comes here.
Wash rooms top class.
In winter excellent heating arrangement. Out door seating lovely.
Highly recommended cafe.
Must come."
Adil Mushtaq, 5 stars ,Good ambiance
Mariam Khan, 3 stars ,"Venue is good
Food was nice
A bit expensive acc to me ;(
Tried Lasagna, it was ok
Tried panini sandwich, it was okish too
Tried Fettuccine Alfredo - it was GOOD
Drinks are good"
Hassan Majeed, 4 stars ,Great food & service. Quite Expensive though.
Asad V, 5 stars ,Great food and a great atmosphere. Service was excellent.
De' ja'vu, 5 stars ,Great job for maintaining the good quality food for so long. Keep it up. The main course menu is limited but is cooked well. Hi-Tea is really good but my personal favourite time to visit this place is for the breakfast due to less rush and peace of mind. They even offer Desi breakfast on weekends which of good for a change.
Usama Sabir, 2 stars ,Found hair in their mushroom crepes
Sabeeha Kausar, 5 stars ,Yummiest food
Dr Adeel Gardezi, 4 stars ,Excellent ambience and food. Food serving size has been reduced than before
Zohaib Bin Khalid, 5 stars ,"Another experience to street 1cafe and it didn't disappoint again. From the staff to the food quality, all were amazing. The quality of beef in steak tops was so good that it was able to cut down with a butter knife, wow. Other things ordered were Tom Yum Soup (they gave me in chicken even though it was not on the menu), stuff chicken strips, batter fries and chicken polo Romano. Every bite was ho die for. The serving size is also very nice. The overall ambiance and atmosphere was also great. I give the following rankings:

Food: 5/5
Ambiance: 5/5
Cleanliness: 4.5/5
Staff: 5/5

Overall: 5/5"
Sidra Hafeez, 2 stars ,"quite tempting food in pic below isn't it? believe in me.. street 1 is all about good presentation only.. visited few times n every time it was already cooked stale food.....(orderd buffalo chicken burger fish fingers, italian chicken, fish and chips). .. tasteless n bad quality food.. 2 stars becs of their comparitively better desserts and good ambience."
Rafiq ahmed, 4 stars ,Good enough
m.ziaulain alizai, 4 stars ,"Decoration 10/10
Beef was well cooked 10/10
Taste.. 7/10
Price $$$"
Aaqib Mehmood, 5 stars ,Great food and ambiance
mohsin alam, 5 stars ,"Lovely food, regardless of the cuisine type, and the complimentary azadi cookie :3 ^_^"
Faiq Sherazi, 5 stars ,Best food. Great ambien3
Muhammad Iftikhar, 4 stars ,Good food. Decent seating.
Zain Tarar, 5 stars ,Great place for different varieties of food. Especially the deserts!
Sheikh Mohammad Bilal, 2 stars ,"I ordered the T-bone steak their speciality and my wife ordered steak as well the starter was good followed by cold fries and later cold steak, are you guys kidding we came from a world where steak is piping hot the meat seemed frozen and soggy as well, Disappointed! If you go there tuscany courtyard would be the best option"
Zed, 5 stars ,Delicious food and excellent quality. I highly recommend this place if in Islamabad.
abdullah azam, 4 stars ,"The restaurant has an amazing enviroment
The food is tasty"
Maaz Rao, 5 stars ,Good sitting place inside as well as outside service is best serving size is good. The BBQ panini was served grilled with BBQ sauce. Overall a good place
Mehak Sajjad, 4 stars ,The cafe fire right under the umbrella of typical “Islamabad cafe” from food ranging from American to desi. The desserts are pretty standard. The area is small with seating mostly outside. It’s a little expensive but nothing over priced. …
TRACK & SNAP, 1 star ,Worst Service
Maryam FCCA, 3 stars ,Just ok
Syed Hasan Raza, 4 stars ,"Very nice place. Cozy setting, very tasty food, good service, classy people visiting this restaurant. Ambiance is very likeable. Overall a good experience."
Azfar Arshad, 5 stars ,"Great beef steaks, rest chicken fish items are okay too."
Saad Nasir, 5 stars ,"Great food. The Eggs Benedict specialty is a must-have for breakfast. The Latte works for all occasions. Their waffles and pancakes are brilliant as well.
Good ambience. If you're okay wih spending a bit extra, do try!"
Khadija Ladhani, 2 stars ,"Ordered the latte, carrot cake and cold coffee for pkr 1465. Coffee was a little light for my liking but the cake tasted like an absolute disaster... Sponge was dry, overloaded with raisins and I wasn't a fan of the caramel coating."
Zain Imran, 3 stars ,"Food quality is good ,but poor service"
Sidra Qadeer, 5 stars ,"Does it get any better? They have mastered it all. From English Breakfast to Nihari to French Cuisine. Their desserts are at top of the game too. A must visit place when in Islamabad.
Best part? They are consistently good.
instagram: #sqthewriter"
Shayan Raja, 2 stars ,"The food is really expensive and not good. In fact, quite expensive for the price and definitely not worth it. Just the appetizers cost around Rs 800 and are tasteless. Desserts, however are good."
Minnah Hussain, 5 stars ,Whenever I go to Islamabad going to this restaurant is a must. They have great food and an amazing breakfast menu. I love the outside sitting area and the ambience is just excellent overall. Food is a little expensive but it's worth it. I …
Hassan Ali Khalid, 4 stars ,Food is good as always. Outdoor seating capacity.
Umair Mir, 5 stars ,"Love this place! Almost everything on the menu is really good!

Red king! 🔥"
Saad Sultan, 4 stars ,"They have variety of food items to eat which is very good, in case you love continental food then visit this place
Bingo"
Ms. badar, 1 star ,Requested 10 times to low volume of music as i was with frnd yesterday and wana chat a bit but no response of rude management. Not recommended if u r with family abd frnds n want to chat a bit.
Faruzan Anwer Butt, 4 stars ,"Loved the ambience and the service. Menu could use some variety but the fare on offer is well worth the higher price tag. Didn't quite understand the bread basket served as a starter - much too filling for its purpose, although the presentation was a nice touch."
Sana Shah, 5 stars ,Yummiest food if you want italian
maha syed, 5 stars ,Great place for breakfast lunch and dinner. The Phillies chase omlete is a must try
Mr Khan, 5 stars ,"Probably my favourite evening/night chill out spot in Islamabad.

It's on a secluded street and away from the hustle and bustle of the main square.

Scenery is beautiful with an overshadowing tree lit with lanterns and outdoor fire heaters to keep you warm.

Menu is kinda expensive but you pay for what you get. Excellent quality food and drink as well as exceptional customer service.

It's a must if you visit Islamabad."
KC, 4 stars ,Quality of food was excellent. The scrambled eggs with pesto was unique and the sausages were high in quality. Strange choice of plain toast which accompanied my meal though.
Hajra Ata, 4 stars ,"The food was excellent. Even at rush time, they served us within 20 minutes. However, the table's size could be improved for an even better experience."
Asif Raja, 5 stars ,Nice
wajahat beg, 5 stars ,"Nice place, good service and food. First time there, so generally good impression. Manager was working hard...."
Muzaffar Hussain, 5 stars ,Marvelous taste of thin crust pizza ..nice ambiance and friendly staff .....in short all is well.......!!!!
Amber K., 3 stars ,The best place for breakfast! If you ever wanna have a good place to eat in the morning you gotta go there! The rest of the menu is alright.
Mercer Aeolymus, 5 stars ,Best place to go to if you want an amazing breakfast. Drinks are great too.
KittyCat, 4 stars ,"Personally really like this place if you sit inside, nice breakfasts, nice atmosphere, decent drinks. It's nice outside too but it's Pakistan there are bound to be flies here and there. Bit expensive."
Waleed Durrani, 1 star ,Extremely small servings for the price charged. And on top of that very poor management overall. Would not recommend at all.
Salman Khan, 5 stars ,"Hit me Choc cake....
This is one of my favourite cafe to grab the desserts and it’s highly recommended...."
Hashim khan, 1 star ,"Very Expensive, tasteless, unhygienic  and even found a hair in food. Just spoiled my lunch and wasted money. I will never go there again. Every thing that glitter isn't gold. NOT RECOMMEND AT ALL"
Zarihs Zoltan, 5 stars ,Street 1 is one of the state of the art restaurant of highest order in the capital city of islamabad. The environment is cozy inside and natural outside along with courteous staff. The restaurant offers wide variety of cuisine with selected but ultra delicious bakery items. Sunday brunch platter is finger licking with halwa puri and nehari whereas molten lava with ice-cream scoop is so yummy.
김상준, 5 stars ,"Food is really impressive & delicious. I tried mushroom soup, warm avocado & shrimp as an appitizer, and it was so good. I definately recommend this restaurant to others. Though the exterior looks a bit deteriorating, the interior looks fine and the service is also good."
Arsalan Baig, 4 stars ,"Been there a couple of times and it was a good experience. Its usually quite apart from crowdy weekends. Outside seating is available and service is great, not enough parking. A lil pricey but good taste."
Adnan Hassan, 5 stars ,10-Oct
Humera Nawaz, 5 stars ,"Excellent experience . ... service,food quality & quantity everything superb and yes beautiful environment."
Ammaad Farooq, 2 stars ,"[2013] Very good overall experience.  Ambience good. Food very tasty.  Food presentation is good. Staff is prompt.

[15/04/2018] The restaurant's standard seems to have dropped. The quality of the beef steak was below par. The Italian Chicken was average. Not an overall good experience. In my opinion, there are many other better options out there. This restaurant seems to be overly hyped."
Shoaib Khalil, 5 stars ,"I would rate it the best fine dinning restaurant in Islamabad.
Great service, courteous staff and good food.
They have a wide variety of food on offer ranging from healthy options like Quinoa salad to deep fried chicken.
They have both indoor and outdoor seating and offer breakfast, lunch and dinner.

must visit restaurant in Islamabad"
Junaid Butt, 5 stars ,Excellent food and ambiance
Taz Chaudry, 2 stars ,Food quality was oky  ..not impressive at all
Kamel Muhammed, 5 stars ,"Great food
Great hang out spot but look out for flies and the heat on a warm day.
There is always space for dining inside."
Mustafa Awais, 4 stars ,Tried their hit-me-chocolate skillet cake and also had chocolate churros which is a must-have. Desserts are amazing but the food from the main course is quite overpriced because the taste isn’t as good as one would expect.
Saddam Bajwa, 1 star ,went to street 1 cafe today for their tom yum soup !!! First the soup was served cold along with a cold stale bread basket upon reheating the soup was again served but to my disappointment the soup tasted really bland as per my previous …
Zain Hameed, 5 stars ,"The outdoor sitting was amazing, although they made it bit congusted for my liking.  I ordered espresso and cheesecake. Coffee was 10/10 and i must say it was the best cheesecake i ever had. Overall great atmosphere especially if weather is good."
Zarafshan Asad, 4 stars ,"The food here is worth a try. Everything had it's own distinct taste. They don't use the same sauces for everything, which makes the food interesting and delicious. The servings are perfect, not too much, nor too less. There salads and …"
Umer Khalid, 3 stars ,Just ok
Anooshay Kadwani, 5 stars ,The only place that never fails to impress me. The food is always always always delicious!
humza mir, 5 stars ,Great Place for Dinner.
