Name,Rating,Comments
tahirmughal tahir, 4 stars ,The taste of Ice cream was pretty good.. 😋
Shahzaib Bashir, 5 stars ,Everything was top notch! (Except maybe the tutti-frutti which was a disaster honestly). Highly recommended
Ahmad Moiz 008, 4 stars ,"Waffle cone (100PKR) tastes really good, but some time the flavour of cocoa is little above... But the best is Jay Bee's Special Waffle costs 130PKR..."
Hassan Raza, 5 stars ,OMG its brownie with ice cream taste is too yumm.... recommended for everyone's for first time b
Maarya Ghani, 5 stars ,"Loved the ice cream and was very fast service.
Would definitely recommend 👌"
Rehan Anjum, 5 stars ,Nice place. Brownies were awesome
Romaya Usman khan, 5 stars ,So in whole lahore I only eat ice cream of jay bees which is the best one and the place is also good
Sheraz Waseem, 5 stars ,It is the perfect spot for Desert. Especially their brownie with ice-cream is AMAZING!
Aisha Zahid, 4 stars ,Best brownie with soft.serve...hersheys cone was also amazing in taste and had a huge serving...i was a bit too excited for the cookie.dough one but it wasn't upto my expectations...i found the cookie dough a bit over done and hard...But over all a great experience.
Muhammad Waleed Sadiq, 4 stars ,Went to Jay Bee's Icecream with my wife. I have tasted it before but for her it was the first time that she came here. I was happy that she liked the taste as well as the quality was also very nice. Its a nice place to make a visit when you are craving for something sweet. Its a must try if you live in Lahore or visit the city.
Sam Malik, 5 stars ,Amazing taste chocolate brownie with venila ice cream.
Muhammad Faraz Aslam, 5 stars ,Very good addition. Not very sweet yet very tasty. Although you had to wait but its worth. Tried super fudge delight and brownie with Ice cream. Both were very soft and creamy. The prices are also very reasonable. Super fudge delight comes with a lot of nuts. Other items are also good.
John Alia, 4 stars ,The strawberry shake was just ok.All stars to service
Saud ahmed, 5 stars ,Nice point for ice cream you will get quality product here with dedicated workers.
Ghufran Naeem, 1 star ,Just got my stomach upset. Pathetic taste
Sheraz Ahsan, 4 stars ,Delicious Icecream... especially their cone ice cream is worth a try..
umar mughal, 5 stars ,"Whenever I think about the best Icecream, I probably have ever had, Jay Bee's will surely stand in the top 3 there, more probably at the top spot. Visited many times, tasted mamy times but the quality and every bite tastes the same way, …"
cool mian, 4 stars ,Jay bees better then others like local ice cream very nice taste good combination brawuni and ice cream with full hot 🔥 chocolate I like it
Hassan Khawaja, 4 stars ,Excellent taste everything i go there.
Muhammad Rizwan Moiz Chishti, 1 star ,"Overrated ice cream, had one today found a piece of rubber glove in their ice cream.

Upon informing them the response was at least this shows that we are wearing gloves.

Arghh

My point what kind of quality they are maintaining and then …"
Taimoor kayani, 5 stars ,Yummi ice cream in town very good experience ever
Unitech 1, 5 stars ,I loce the cold coffee they have its freaking awesome
Kaiyan Yousaf, 5 stars ,Very nice flavour. Reasonable prices. The cookie was a bit too sweet but i guess that's how people like it
Zeerak Ata, 5 stars ,They were closed when I arrived and the staff was almost out. But they agreed to serve me the ice cream and I loved the service and the taste!
Xari Fari, 5 stars ,Too good.. tried their special cone ice cream n brownie with ice cream.. both were great in taste n quantity .. quality is fantastic
Siab Shafique, 3 stars ,"Probably the best ice cream in Lahore, but the seating capacity and the ambiance is below par"
usama qureshi, 5 stars ,best Ice cream in the town. Love the flavours.
unnus usmani, 5 stars ,Hands down best ice cream in Lahore at the cheap price. Their brownie with ice cream and special waffle cone are a gem😍
Safdar Abbas, 3 stars ,Budget option. Liked the hot chocolate better than other products.
Muhammad Saad Ullah XIA I6646, 2 stars ,"Although prices are reasonable but still higher than the quality. However, much better in taste n quality than world famous ""chaman ice cream """
Tablet 1, 3 stars ,It used to be so good but now they are reducing standards .Also some times its too sugary.
Khurram Iqbal, 5 stars ,Ice is good and cheap. 100 rupees per waffle cone.
Mujahid Khalil, 5 stars ,It was very good we went there several times n it's wonderful experience.its taste is excellent n price is economical
Mix-up Series, 5 stars ,Superb duper hit fit.. end he ye.
Sana Imran, 4 stars ,Fresh and delicious icecream in a good price range
Meemu Playz, 5 stars ,Best icecream and shakes in town
Naeem Ahmad, 3 stars ,Nothing special. An okey-ish Ice cream at  affordable price. Small menu. Didn't find anything too special or spectacular. Just an OK experience
Muhammad Affan, 5 stars ,Their cold coffee is worth the price and the brownie ice cream is heaven to mouth. Highly recommended.
Shehryar Waseem, 5 stars ,Great brownie with Ice-cream in a great price! 👍
Haseeb Shoaib, 1 star ,Poor taste.. Better go to hotspot for better quality.
Mohammad Waleed, 4 stars ,Ice cream is really good but theres one issue is that THERES NO SITTING ARRANGEMENT. This was a problem for me but otherwise it's really good.
Needle Art Embroidery clothing brand, 4 stars ,It's an icecream point very beautiful and icecream is very rich in taste
Zaheer Ahmad Qureshi M.D, 4 stars ,"Blooming business now a days using old fashioned cone ice cream machines. Try it because it is a bit different. They have a special, called Hersheys Chocolate cup/cone for Rs 150. It is actually made of Hersheys Powder. Cookie dough for 180 …"
Azhar Masood, 3 stars ,A good place ! For delicious icecreams
Ali Baig, 4 stars ,"They have one of the better icecream. Limited menu means that they can concentrate on the quality more.
Molten lava and brownie ice-cream are a good choice if you are going for the first time
There prices are very affordable and it's crowded most of the time."
Faizan Tafzil, 4 stars ,"If you're a sweet tooth and always have cravings for ice cream; this is the place, just drive in for the take away and enjoy it 👍. Rating 7/10."
Ammar Shafique, 4 stars ,Had brownie with icecream. Good item in a reasonable price of rs 150. Would recommend it. They should have a dining place too.
Anees Fatima, 3 stars ,"It was good ,but I think there is not to much variety."
Shoaib Khan, 1 star ,Simple vanilla cone ice cream in different styles cheap in price and taste which attracts crowd
Ghulam Ahmed, 1 star ,I am really disappointed as I visit them every day for the past on week and could not get strawberry Icecream at defense  outlet as it is the best Icecream in town
Usama 1.0, 5 stars ,Very delicious ice cream . Staf members are very polite to every one worth it place to go
Azan Bin Zahid, 5 stars ,Economical and delicious. No sitting place but there's no harm on eating outside.
Ch Nisar Zulfiqar, 5 stars ,Excellent experience Excellent wafle cone and cold coffee
Farrukh Piracha, 3 stars ,Not great quality but cheap rates and can try not that bad
Abdullah A. Pal, 5 stars ,Just love their ice cream. Its quality and price is unmatched. Very tasty and extremely economical. Best one is the special cup!
Shahid Saleem, 5 stars ,"Today visited again,but only three were flavours available coffee, chocolate, and vanila..........🥺🥺🥺"
Asjad Moghees, 5 stars ,"Lovely taste, tried there Browny with ice cream and fell in love ❤️"
Mohammed Zohaib Khan, 4 stars ,It was Good but now a days sitting arrangement is not available
nawaf mahmood, 5 stars ,"Given the price,  brownie icecream with roasted almond topping is amazing"
Faisal Khan, 4 stars ,Best cold coffee
Haider Amin, 5 stars ,Do try their hershey icecream
Junaid Haris, 3 stars ,"The taste of the ice cream and molten lava is fine given the price. It is quite cheap and taste is reasonable. There is ESR discount too. The service is slow and ambience is not good either.
Overall, not a family place. But, reasonable if you are low on budget."
Rashida AS, 5 stars ,"Wow,a good ice cream,shakes 😋 and cost effective as well.prices and serving are different in different areas"
Usman Awan, 4 stars ,"Excellent soft-serve vanilla and chocolate Hershey's ice cream with variety of toppings, and fresh-gooey chocolate brownies.
Super-Fudge Delight is a must try."
Muneeb Ali, 5 stars ,Taste and economical sums up this glorious place
razi Riaz, 4 stars ,You are good. Just need more healthy conciuce. Special your staff need change gluves after every hour.and they should use washed dress every day.thanks.
Haider Wain, 5 stars ,"Very economical and really good. Like almost everyone, I recommend their brownie+icecream. You won't get anything better in this price range for sure."
Imtiaz Ahmed, 5 stars ,My 2nd visit to this place good taste reasonable price
Hamid Tariq, 4 stars ,Quick serving. Nice menu
Momin Munir, 3 stars ,Icecreams are good but the rates are too much high.
Madiha Shah, 5 stars ,Best mango ice cream. Their vanilla and coffee is superb too
huzaifa azhar, 5 stars ,Must say that their ice cream is really good. Especially I enjoy there cookie dough a lot.....
Aftab Moti, 5 stars ,Pleasent environment
Nasr Zia, 4 stars ,Very good shake.
nouman abbas, 5 stars ,"Lovely Cones! Waffles, Cold Coffee and shakes. They serve quality Ice Cream at very reasonable prices!"
Bilal sheikh, 4 stars ,It used to be really nice earlier but the quality keeps degrading as popular as they get
HASSAN TAHIR, 5 stars ,Brownie and ice cream is their toppest
FAIZAN AHMED, 5 stars ,"Excellent cold coffee and Molton Lava!
Tastalicious 😜"
Muhammad Amir Qureshi, 4 stars ,Cold Coffee was good but a little higher on the sweet side.
Muhammad Jahanzeb, 5 stars ,Taste was really good.
Ali Muzammil, 4 stars ,Unique taste every time not in a good way.
Ramsha Habib, 5 stars ,Best choclate brownie with ice cream
Mustafa Shykh, 3 stars ,"Ambiance: N/A
Taste: 10/10
Price: 10/10
Staff Behaviour: 0/10"
Shafiq Rehman, 1 star ,"Got my stomach upset .
Unhygienic food 👎"
Fahim Sheikh, 5 stars ,Ice Cream taste at its peak 😋
Dayyan Ali, 5 stars ,Ultimate passion. Best affordable brownie in town. Brownie icecream in Rs 160. I mean its very good. Vanilla shake is also excellent
Gohar Asadullah, 5 stars ,Best deserts in town at an awesome value
Muhammad Hannan Ayub, 4 stars ,Best ice cream and affordable. Should have sitting arrangement as well
Muhammad Saim Bin Saeed, 5 stars ,"A new experience
Very good variety
Loved the chocolate fudge delight
Cold coffee is also amazing
Highly recommend
Must have it once.
A bit busy but worth the wait."
Anas Shahzad, 4 stars ,Rates were a bit high. Overall experience was alright. Nothing special!!
F Aziz, 5 stars ,ice cream with brownie for 150. can't get more value for money.  taste was hotspot-ish
Umair Ghouri, 3 stars ,"Not worth the hype:
Well like everyone else I heard a lot about Jay Bee's and went to try it out.
So they are really doing good in managing a line of customers. They have priced their product competitive.
But they are not giving any WOW factor. Their speciality ice-cream with brownie was a typical thin can be bought from any other ice parlour.
They are good but not the worth the hype."
Ahmed Mukhtar, 4 stars ,Great taste. Good customer service.
Jawad Mahmood, 1 star ,Worst experience ever. They didnt inform us when something was wrong and after 30 mins amother guy came to ask if u wan to order? Also the ones who keep shouting are delivered first. Totally disgusting behaviour.
Aftab Aslam, 4 stars ,It was my first visit .. Enjoyed .. Value for Money .. My suggestion is to add Fresh Mango (Seasonal) Gelato/Ice Cream ..
bilal saeed, 1 star ,Worst experience with them.. So bad taste and quality 👎
Shiza A., 5 stars ,The icecreams are amazing and so reasonable!! And the Molten Lava is just wow. ❤️
Ahmet Ahmet, 5 stars ,Best and affordable ice cream in lahore the crowd is crazy and mostly crowded
Amaad Nabi, 3 stars ,Ice cream tastes good....once in a week would be recommended.....
lucka adrian, 5 stars ,Its one of my fav and the rates are good
hira Shehzad, 5 stars ,Perfect ambeince
Waqar Ahmad, 5 stars ,The taste of cold coffee and brownies with ice cream is awesome..
Zill-E-Noorain M.Sibtain, 4 stars ,Good place for ice cream lovers
Rehan Khan, 5 stars ,Outstanding taste of ice cream in lahore specially cone ice cream was super love this brand
Shamoon Shahram, 4 stars ,Their ice-creams are very awesome and their rates are also cheaper as compared to the others
farhan ali, 5 stars ,Always a delight to try this place
Omer Mughal, 4 stars ,Excellent ice-cream you got from here
Wild Archer, 1 star ,No taste. Not a worth visiting place
Steve Hyder, 5 stars ,Ice creams shakes 🤩♥️
asim khan, 4 stars ,Yummy but service is avg
khaild babar, 5 stars ,Very good I like it
Burhan Ansari, 5 stars ,Value for money brownie ice cream is signature....
gerald lawrence, 5 stars ,Very welcome family restaurant. Was just seated before the dinner rush. Food was old school comfort food. Service was attentive and very friendly. Desserts we're very tasty and rich. Will keep it on our list when in the area.
Ahsan Waseem, 5 stars ,Best Ice-cream at a very good price...I think that the ice cream formula better then that of Mcd. Highly recommend and i hope soon they will open a bigger Parlour. ❤️👍❤️🍫
fouzia munir, 5 stars ,very yummy ice cream
Dani J, 5 stars ,"One of the best icecream in Lahore. As well as the desserts being scrumptious and a delight to eat, their prices are also cheap. Keep in mind though, that near the place, there will be many cars parked wrongly so there will be traffic on the service lane. So I suggest to park your car some place away and then getting the dessert."
Ahad Farooq, 4 stars ,Always prefer
Sajid Qayyum, 3 stars ,Coffee and ice cream seller reasonable
Muhammad Zohair Siddiqui, 5 stars ,Taste 10/10
Ahsan Ali Khan, 2 stars ,I had heard so much about their icecream so finally decided to have it last night. I ordered the hersheys special. It was very disappointing.
Mahmood Hassan, 1 star ,"Too crowded
And they seriously need to hire well.mannered staff
They don't follow any COVID 19 SOP"
Naved Rasul, 5 stars ,"These guys have truly nailed the recipe for quality product at an affordable price. Delicious!
Caution: Come here with half of your stomach empty as these guys serve generous amounts of desert. 😉"
Muhammad Awais, 3 stars ,Taste varies branch to branch
Wajeeh Faisal, 1 star ,Pathetic staff and service at T block branch no customer care and rude staff ordered the coffee and brownie with ice-cream didn't get that afte half an hour no order taker was ready to listen
Noora Elven, 5 stars ,I love jayBees ice cream 👅👅😘
Wafa Khan, 5 stars ,this place is 😍 love
Muhammad Usman Tariq, 5 stars ,Best cheap ice cream
Shahram Aslam, 5 stars ,Good quality ice cream in a reasonable rates
Usman Ashraf, 5 stars ,Amazingly tastey cone waffels beans and nuts
Jawad Nasir, 4 stars ,"The Icecream and Brownie combo was amazing, given the low price! A good spot to hang around late at night for some soft-serve (and more) for DHA & Walton residents."
Faraz Ahmad, 5 stars ,"This us simply yummy, value for chill n taste n value for money"
umair zahid, 1 star ,"Over rated, 🍨 was good bad service level is 0"
Lahore Express, 4 stars ,Today at Jaybees in Defence main boulevard Lahore. Ordered their special waffle cone. It is available in vanilla flavor. Taste wise it is good. My ratings are 7/10. Only bad thing was brownies was falling on my stomach. I think too much …
Abdullah Khalid, 5 stars ,Good ice cream
Mobi Sheikh, 4 stars ,Taste is good.  But quantity is less as compared to other brands
Mehr Mirza, 1 star ,After waiting for 20 minutes and being told to wait for another 2 everytime we asked. we were told that our order would take more time so we can leave if we want to. Terrible service!
salim ahmed, 5 stars ,Very big outlets chain with great taste
Ahmed Altaf, 5 stars ,best ice cream
caesar qaiser, 1 star ,Worst customer service ever.. they dont bother to serve you themselves u have to  stand for hour to get a cup of ice cream.
Amar Abbac, 4 stars ,Liked the taste 😋
Food and travel Pakistan by Asad, 4 stars ,Good cone ice cream. Price wise also reasonable.
Emmi Jutt, 4 stars ,"Good taste of icecream, yummy Orio mix shake, and lot of other taste"
Uzair Rasheed, 5 stars ,"Awesome, tasty, creamy..
Best ice cream in town and in cheap price..
Especially her cone. 😍😋"
Muhammad Rizwan, 5 stars ,Absolutely loved it. Great taste and varieties of ice-cream flavours served here. Although you had to wait for your order to be served due to the amount of rush here and all people trying to get their order ASAP. But that wait is worth it …
Maryam Shah, 5 stars ,Good quality in good price
Saima Ansari, 5 stars ,Quality icecream with very affordable prices
fazal ur-rehman-sharif, 5 stars ,Best icecream cone ever
Akmal Tahir, 4 stars ,Good taste. And prices are low. I love their molten lava.
Hamza Rizwan, 5 stars ,Amazing taste and quality at a very minimal price
Usman Gujjar, 4 stars ,Nice plain ice cream
RK ZALIM PLAYZ, 5 stars ,Very Good taste
Qasim Tarar, 4 stars ,It was very nice fasr service
raja Nausherwan, 5 stars ,"They offer great taste & quality at an economical price.
Hershey flavour is a must try"
Mohammad Ali Jaffri, 4 stars ,Their ice cream is one of the best I've ever had. The only catch is that you have to wait for over half an hour after buying the ticket to get your ice cream. Also they have no ladies queue. Otherwise I loved the place.
Shahid Nazir, 5 stars ,Children’s best ice cream
Noman Shabbir, 1 star ,Below average standard as compared to other branches
Jayzee explores, 5 stars ,Its such a amazing place for icecream
Aisha Tariq, 5 stars ,Very delicious
ZAAM COOL, 4 stars ,This is a good place for ice cream... Small place to enjoy
Ammad Saeed, 4 stars ,Good tast
saadia syed, 5 stars ,Tasty ice cream and economical.
Abdul Hanan, 5 stars ,White chocolate sundae
MR. SAIFULLAH, 5 stars ,Tasty ice creams
Ghulam mohy uddin, 5 stars ,Excellent great place
Safeer Rehman, 3 stars ,The icecream is fine but the cold coffee is the worst one I've had so far
Samaha Sufyan, 5 stars ,Absolutely amazing and super filling icecream. 100% value for money. Their brownie with ice cream is to die for and their cookie dough one is also absolutely delicious.
jawad malik, 4 stars ,"Economical Menu! They're speciality is ice-cream but they have managed to serve their ice-cream in many different ways! In my opinion there ice-cream needs to be improved! Walls ice-cream is better the there's, but variety in budget are the main deal!"
Syed Waqar, 5 stars ,They have maintained their quality but prices keep rising hope that they reduce prices. Their shakes are good
Ali Raqib, 5 stars ,Waffle i love with Oreo topping
Waleed Mughal, 4 stars ,Not bad for the price
Abid Rashid, 3 stars ,Normal taste.
Nadeem Abbas, 3 stars ,Good & cheap icecream. Cold coffee is also good.
Abdullah Ahmad, 5 stars ,Very nice ice cream
jahangir arif, 5 stars ,It was Yummy as always.
tehmina syed, 4 stars ,Good for price
daniyal ashraf, 2 stars ,The waiters are very rude.. They don't even know how to manage the orders on right way
Zainab Sohail, 5 stars ,Excellent quality and value of money
Sajad Afzal, 3 stars ,Milkshake quality is not as good as it used to be.....
Khan Baba, 5 stars ,"It was fantastic visit,"
Hamza Akbar, 1 star ,Pathetic service. Under employeed service staff
gulraiz niazi, 3 stars ,Good ice cream
Laila Samavia Khan, 3 stars ,In the starting the ice cream was too good. They provided plain vanilla. Now plain ice-cream isn't available and not good enough as it used to be.
Shaiba Assad, 1 star ,Made a complain not good at all
Muhammad Munir, 2 stars ,Low quality ice cream for ex generation
youtube rockers, 5 stars ,Best icecream in town
Ahmad Shahzad, 5 stars ,Very good service and overall a very experience.
میاں اعظم عظیم, 3 stars ,Brownie is good.
Salman Ateeq, 4 stars ,"Reviewing 1 star short because their service is pathetic. On top of that, the servers take the order then come back to you to tell you about something that isn't available. If you go inside and scold somebody then it becomes available. The icecream itself is delicious and that is why a lot people come here, but perhaps they lack the manpower to properly handle all workload that comes in with the fame"
yasIr ZahID, 5 stars ,Brownie with ice cream amazing taste
Muhammad Jawad, 4 stars ,Yummy taste in reasonable prices...
MUHAMMAD SHAFIQ, 1 star ,Goood
Muhammad Tayyab, 5 stars ,Outstanding. Love it
Meesam Haider, 5 stars ,"No words for the taste, Amazing 😍"
safwan khan, 5 stars ,Amazing ice-cream
Zartaj Liaqat, 4 stars ,Fresh n yummiest icecream yet economical
hina mudassir, 5 stars ,Loved tge brownie
Pakistani GOOGLE, 4 stars ,"Don't ask!!!!
So awesome.....!

Check my review on my YouTube channel ""Pakistani Google""."
Khurtoom Mir, 5 stars ,Cold coffee with oreo topping is love
Nabeel Khalid, 1 star ,"My ice cream was filled with whole almonds instead of crushed nuts, my jaw hurts after eating so many almonds and little ice cream. Also ordered vanilla ice cream for kids, they accepted order at first, then lied about machine not working. The person at reception was also very rude. I will never eat at this pathetic restaurant again."
Bilal Khalid, 4 stars ,"Ambiance is good , quantity is good..... but the icecream is iced....they need to improve quality a little bit.... else overall experience is good"
Alpha Digital, 3 stars ,Not good to eat chemicals
NINJA FF YT, 4 stars ,Taste is great. Waffles of Rs.80 is sufficient for elders because the ice cream is little thick and gets heavy.
Shumaila alvi, 5 stars ,The best place
Aleeza Tariq, 5 stars ,Best ice cream
Ali Hassan Raza Baloch, 5 stars ,try brownie ice-cream with chocolate! its the best they have got so far.
Maheen Cheema, 5 stars ,"Too good. Tried the icecream with brownie, definitely worth in a reasonable price."
Ehtasham H Qureshi, 4 stars ,Cold Coffee is good
Hamza Asghar Chaudry, 4 stars ,"They are new in the icecream retailer game. But they are already pioneering it!
The Chocolate with hot muffin is a must.
Quite affordable."
Oan Jamil, 1 star ,Pathetic in service the service guys keep on running here and there rather than attending customers
MUHAMMAD QASIM GUJJAR, 5 stars ,Wonderfull place
Muhammad Ali, 4 stars ,Fresh and yummy
Delta Roger, 5 stars ,Excellent ice-cream
Mohsin Mansha, 4 stars ,Great taste better then any cone ice cream  in lahore. Price is also normal
saboor ahmad, 3 stars ,"Ice cream was really good, but probably the most unorganized group of staff I have ever seen in my life."
Mustafa Shahbaz, 3 stars ,They are serving less quantity than before.
Farhan Ismail, 5 stars ,Best ice-cream in Lahore
adeel ahmed, 5 stars ,Six star for mango mango mango just waao .mango and mango fudge
Talha Saqib, 4 stars ,Great value for money and good quality and quantity
Roohi Khurram, 2 stars ,Very slow service.Had to wait for a long time and no one came to take order.
Mariam Mashooq, 5 stars ,Loved the brownie and the cold coffee was amazing.
Usama Bin Ijaz, 5 stars ,Their browny ice cream is lit
SAM SSQ, 4 stars ,"Yummy icecreams ,shakes available here"
Hamza Jalil, 3 stars ,Cheap and Good!
Mohammad Ali, 5 stars ,Yummy ice cream with chocolate brownie at very low price. They have other menu too but I only enjoyed this ice-cream.
Haaziq Mehboob, 2 stars ,"Ice Cream is good, but they don't listen to you while receiving order and provide wrong ice cream which is usually expensive than your actual order. Tried complaining but in vain. Do double check your order after placing it. Else quality of ice cream is good."
Mohammad Abdullah, 4 stars ,Best chocolate brownie with ice cream
Asad Asad, 4 stars ,good area
Maham Khawaja, 5 stars ,Affordable and yummy
Zain Kamal, 4 stars ,"Brownie with Ice cream and special Ice cream with waffle are delicious. Had a bad experience with taste once in my 10 visits.
Only problem is the location and the traffic jams caused due to heavy numbers of customer that the place gets. Not sure if that's an achievement or a failure lol."
rafaqat masood, 5 stars ,Best ever in this cheep price realy best one
SULEMAN Tahir, 1 star ,Just a normal cone which was made of powder
agha 8484, 4 stars ,Kids like their Chocolate ice cream and waffles
Awais Mahmood, 3 stars ,Brownie is too good delicious but ice cream’s taste not so good
SAMZ DIAMONTIES., 5 stars ,EXiTING place !!♡♡
khalid javed, 5 stars ,"Awesome, tasty and creamy....
at very reasonable price.
All menu items are a must try yummy 😋 stuff.
One will really love to visit Jay Bee again n again."
Mirza Ali, 5 stars ,I don't know it's yummy or not but due to this shop lots of traffic jam on DHA main boulevard
Muhammad Talha, 5 stars ,Very delicious n tasty
Shahroze Awan, 5 stars ,The price 100% justifies the products! Love it. Will go back every chance I can.
USMAN KHALID MAHMOOD, 3 stars ,Just ok
Muzna Farooq, 5 stars ,Jaybees is so good I can have it everyday. Also  its friendly on your pocket
Jafar Hussain, 5 stars ,Loved it
Fatima Seerat, 5 stars ,Good taste with best rates
Tanveer Ahmad, 4 stars ,"Located on DHA Main Boulevard is this small ice cream vendor, seemingly pulled from my childhood nostalgia. The modest yet ever faithful choc bar is the crowning jewel of Jay Bees. My usual (signature) order comprises of special waffle cone and tutti fruity ice cream. Top that with fruit and syrup and I’m happy. They have a great variety of add-ons for their ice cream, such as cookies, dark chocolate, and Hershey’s caramel."
usman bakhsh, 4 stars ,Delicious
Ali Adus, 5 stars ,Cheap amd good Ice Cream
Zunair Hassan, 5 stars ,Very nice place wow icecream 😍
usman Rajput, 5 stars ,The most delicious  and Cheaper icecream in lahore i must say You also go and taste
Muzammil Rao, 3 stars ,The taste is good and the prices are economical too but you have to wait for a long time just for ice cream.
Faiz Karim Rajwana, 4 stars ,Good Taste and Price.
Nouman Saleem, 5 stars ,"very tasty hygienic and price is also very reasonable
highly recommended"
Omar Salman, 5 stars ,Surprisingly good. Better ice cream quality then BR
The Amateur Mountaineer, 5 stars ,Brownies were amazing
hamza bin shuja, 5 stars ,Best ice cream in town
Muhammad Riaz soharwardi, 4 stars ,Good tast
Ali Riaz, 5 stars ,Fantastic experience with great taste and great price
rocksan wasim, 5 stars ,good taste
Masood Zaidi, 2 stars ,Disappointed! Ice cream melting when served!!!!!! Order served to different group members from 5 - 20 mins.
ahmed saeed, 1 star ,Bad and worst icecream
Faisal Masood, 3 stars ,"I don't know why people becomes ""Lakeer K Faqeer"""
Shees khan, 5 stars ,its really good and prices are  also affordable.not like others that quality is bad  and  prices are  high till sky
Samreen Amir, 5 stars ,Amazing place to go
Abiha mirza, 5 stars ,Great place for ice cream... And  great flavour of chocolate fudge ice cream
Adnan Bajwa, 5 stars ,Noce people and good quality
v t, 5 stars ,That dairy ice cream really takes it up a notch along with lovely brownie. Good menu rates aswell
G. M. Faisal Khawaja, 4 stars ,Amazing combination of brownies with ice cream
sabaa shehzad, 5 stars ,"Highly recommended.
I travelled all way just to have it, nd it made my day. Ordered special cone + brownie with icecream. The taste pays off❤️
Very economical, very tasty."
Ali jawad, 5 stars ,LAVA CAKE is to die for
Mohammad jaan mehdi, 4 stars ,Not bad but not too good alamgir is better than this
Umar Ali, 2 stars ,Browne ice cream is good taste is 6 out of 10
Amir Muhammad, 5 stars ,One of the cheap and best ice cream parlour.
Sush Khurram, 5 stars ,Loved it
Muneeb Shafique, 5 stars ,"Amazing! More than good as expected, location is good, parking is fine, service is also fine, but the most special thing about jay bees is the quality of ice cream which impress me a lot as a Faisalabadian, taste of Waffer cone was delicious and yummy so i strongly recommend to try this ice cream parlor for some serious enjoyment.

Overall it was an excellent experience to try this ice cream."
Ali Zian Kazmi, 3 stars ,Poor service and they serve melted ice cream
Asad Azam, 5 stars ,"Good ice cream, economical as well but Parking Place is a great issue there..."
Muhammad Sarmed Aslam, 5 stars ,"Delicious icecream, excellent taste"
Naeem Sheikh, 5 stars ,"Very delicious. No ice, all cream. Excellent combination of vanilla, coffee and chocolate."
muhammad sheikh, 3 stars ,Good one
Ahmad Khan, 4 stars ,This is one of the best and affordable dessert places in lahore. Best bang for your buck.
Bilal Ahmad, 5 stars ,The taste of their brownies is one of the best and that too at an economical price but there is usually a wait of 20 25 minutes due to high demand
Foodies fashionista, 5 stars ,This one is the best place of ice cream in Lahore ND I like it too much
habib ali, 5 stars ,One of the best cold coffee's i ever had they r just wow one should must give them a chance 5/5
Attique ur Rehman Aamir, 5 stars ,"Everyone I know likes it, although I'm not a big fan of icecream."
Huzaifa khalid, 5 stars ,"Taste: 9/10
Brownie with ice cream is a must try."
