Name,Rating,Comments,Sentiment
M. Azeem Ijaz Sheikh, 3 stars ,"No doubt their taste and quality is great. But today I called them to inquire to order deg. To my surprise, they informed me 6x12 kg deg of pulao is for 9000 ,where 6 kg is chicken and 12 kg is rice. Isn't it quite expensive?? And no matter your distance is within city, they will charge you 1000",Negative
Sam Butt, 5 stars ,One of the best examples of hygienic and quality fresh food. The savour pilau and roasted chicken is next to none. Nobody can beat them on service and taste,Positive
Wasim Anwar, 5 stars ,"May Allah bless them more, I am very much appreciate their food quality & taste. Good luck savour foods.",Positive
Saira Iqbal, 5 stars ,It's nice place to visit and eat some amazing food. Pulao is very good and famous for its taste. Located near luckshmi choke. You can go there through orange train also. Savour food is the best in the area for its taste. Must visit it for a nice tasty meal.,Positive
Moazzam Ali, 5 stars ,Cool place to dine or lunch with your family in an elegant and heigenic environment. Don't forget to pay tip to the waiter serving you. Their Zarda is extremely delicious.,Positive
Zohaib Jahan, 5 stars ,Taste is good as usual. Grand hall with nice sitting arrangements. Recommend for family also. Card payment not available.,Positive
Abdullah Butt, 5 stars ,Tea in Rs 60 served properly in good quality disposable cups. Loved it. Kulfa and crunch icecream flavours are best. Two scoops in Rs 90.,Positive
Khurram Sheikh, 4 stars ,Tried first time savor. Actually not bad. In 240 Rs you can have a good amount of rice with chicken piece of your choice and 2 beef kebabs.  Will try more sometimes!,Negative
Huma Abid, 5 stars ,It was a very good experience in savour food. Good quality food. I really like ice cream of savour food.,Positive
Shaheryar Nasir, 4 stars ,Quite good taste. A very good quantity is being served by them. Pleasant and Neat Environment. Must try it. Prices are comparatively good as compared to others.,Positive
Saif Ullah, 4 stars ,The best pakistani palao kabab place in lahore. They also offer different chicken and burgers also. There food is very good. Salad and Raita is served.free cost with the palou. They have lot of space almost 2 floors ro served their guests. The facility of ATM is also available.  You can enjoy different cold drinks and ice creams. They introduce new drink rosesip. Presentation is good but its very sour. So if you like khata drink it is for you,Positive
UsmanTariq Qazi, 5 stars ,"Beautiful and well maintained premises. Food quality is always very good. Hygienic food. Cleanliness is ensured, even in toilets. Very reasonable prices and ample variety. It is always a pleasure eating at Savour Foods whether indoors or in their outdoors or rooftop seating.",Positive
Salman Khan, 3 stars ,Average food great prices pathetic service staff beautiful venue,Positive
Muhammad Ahsan, 3 stars ,"Very ordinary taste. Shami was good, but can't say it chicken pulao. Overrated in lahore.",Neutral
Ahsan ul haq, 3 stars ,Not spicy I was expecting something spicy Pulao with out masala are not dilicious so it Just Ok,Positive
Silver, 3 stars ,"Though Savour foods have maintained the quality of food and service very well. I used to be a fan of it's first branch in Rawalpindi. But the quantity has reduced. I remember it used to be 1/4 piece of chicken, now it's 1/8.",Positive
Muhammad Ibrahim, 4 stars ,Pulao quality and quantity is good plus you have this option of refill for rice at no cost which you don't get normally. Price is also very reasonable.,Positive
funny, 4 stars ,"Nice place to dine in or take away...Separate floor for families dine in area...clean toilets....place is famous for Chicken Pulao...other fast food options also available...like Zinger, Roast chicken, Fries, Crispy Chicken pieces.....one of great choices",Positive
Mazhar Sultan, 4 stars ,Food taste is not as good as Saver Pindi and Islamabad Blue Area. But still a good option for economical lunch.,Positive
Ali Hassan, 4 stars ,the service was outstanding and provided best environment for families and couples. you can enjoy your dinner in economical package. the management was great and loyal with customers,Positive
Zaid Amir, 4 stars ,Above average Pulao. The chicken was good but the shami kabab were not. The salad served was not fresh nor were the rice. There is no dine in option due to SOPs so you have to eat outside and there are a lot of flies outside. If you are in …,Positive
MaisaM Musaddiq, 3 stars ,They've increased the prices a lot and now it doesn't feel like this place is worth the money you pay.,Positive
waqas javaid, 3 stars ,"Chicken pilao was pathatic,is se acha ghr me bn jata h but on the other hand ice cream  was amazing and delicious",Positive
Umair Ansari, 5 stars ,I heard a lot about it and tried it for the very first time... Loved the taste and environment... Recommended ,Positive
M Hamza Qaiser, 4 stars ,Fine food at pretty good price.. love their Plao The only thing I dislike about this place is their sitting area.,Positive
M Ramzan Shahid Khan, 5 stars ,The experience on this savour foods was fantastic as the food was of good quality and service too.,Positive
Ali Salman, 4 stars ,Your go to place if you are craving a good pulao. Decent sitting for families.,Positive
Asad Ali, 5 stars ,A wonderful experience.... Nice place for staying a moment... Highly recommend,Positive
Khan Lala, 5 stars ,One of my most favorite restaurant in Lahore. Reasonable prices with an ultimate taste and quality.,Positive
Sana Baloch, 4 stars ,Best place for lunch. I tried their special pulao served with 2 shami and 2 chicken pieces.I totally recommends this place.mint magrita us also a must try,Positive
Mian Faheem Khadim Advocate, 3 stars ,"I have eaten savour rice with rita and salad with cheaper price but now a day its expensive special for poor people and working class, and also students",Negative
Saqib Iqbal, 5 stars ,"Great Place to visit every single time, Fresh Food Every Time Pure Hygienic Standards. Same Taste All Around.",Positive
Shahnawaz Jutt, 5 stars ,Waoo.... Rice Are so Yummy with Chicken and Shammmi  Taste 9/10 Service. 10/10,Positive
noman tariq, 5 stars ,There's good food. Comfortable for families.if u hunger go there and enjoy,Positive
Muhammad Naeem, 4 stars ,"Quality and taste not upto mark. Good sitting, good environment but food/pulao is normal, shami tikki was good and normal fried chicken.",Positive
Faran Farrukh, 4 stars ,Awesome experience in lahore. Unexpected. Same taste and quality.,Neutral
Malik Musharaf, 5 stars ,BEST  and cheap place in lahore . You can get a variety of delecious food here. But the most well known is there pulao (rice) . There service is very good with expirienced cooks and well mannered staff . Cleaniness is their first priority . They are now running 2 branches in Lahore . And also they have a very nice environment with good furniture. They were also popular in Islamabad and rawalpindi branch due to their rawalpindi branch .All their food is prepared by machines in clean environment . They are earning alot .,Positive
Asad Nawaz, 5 stars ,Famous resturant. Their pulao is just Awsome.,Positive
Navid Saqib, 5 stars ,Well maintained evionrnment with excellent taste. Those who are foody and love palou surely love it. I personally love the way they distribute free food for needy ppl lots of respect for the team,Positive
Shahzadi Jamil, 4 stars ,It is good and reasonable place to eat simple Pulao... But I was surprised when I had my heart  favorite Pina colada very well made,Positive
Sharafat Ali, 4 stars ,"Savour is savour, either you love it or you think its over rated. But sure it is expensive. I would not say its the best, but it is fine. rice were good.Its enough for one adult. the only thing that differentiate it with other, is the quick service that they offer. Chicken piece is smaller that I'd imagined. but still its a good try. Nothing can beat Madina yakhni pulao when it comes to chicken pulao",Positive
M.Aaqib Nawaz, 1 star ,"Very very below expectation, u can only enjoy if u can eat any thing meant to be edible.",Positive
Nabeel Haider, 5 stars ,Loved it. Rice were so light that we had 2 plates,Positive
zaigham wasti, 4 stars ,Nice place to visit as their services are excellent but as far as food is concerned I have some reservations regarding their taste as compared to when I had last tried in Rawalpindi in 2008.,Positive
Uzair FT, 5 stars ,"One of the best place to fill your appetite with mouth watering pulao and kebab. It is best of Lahore's Cuisine. If anyone traveling Lahore, he should taste it.",Positive
jadeer ehsan, 3 stars ,Nice ambience reasonable price but the food quantity is low. Taste is average.,Positive
aliya naseem, 3 stars ,I have heard a lott about it but honestly I dint find anything special in it.though sitting place was great but pulao was ok but not extremely delicious,Positive
irfan iffi, 5 stars ,"Good economical food. If you are rice lover, wanna eat pulao. There is no better place than Savour",Positive
M Awais, 3 stars ,"Taste is not exceptional but where else u can get a full plate plao with two shami kabab and one piece of roasted chicken in 245 rupee only ??? Very clean envoirment . A good place for commonors , lower middle class and middle class",Positive
Muhammad Affan, 4 stars ,Quantity is good. Taste is not upto my expectations as compared to Savour Islamabad.,Positive
Abdul Haseeb Hassan, 5 stars ,AweSome FooD Especially DeSSert.,Positive
Salman Sarwar, 4 stars ,Good taste......overall ok.... ....Staff need training slightly..... Open air hi chal rha abhi......,Positive
sami khan, 2 stars ,Hyped nothing else. Quantity is good but taste was normal. I have been on shama branch near hospital and ordered pullao deal with mint margarita as waiter was keep insisting on that drink. Drink was good but food taste was rough.,Neutral
Sannan K, 5 stars ,"I absolutely love Savor foods. Although I'm not a big fan of Pulao as it generally tastes too bland, but Savor's single and double Pulao combo is delightfully amazing with just the right amount of spices and flavoring. It's considerably …",Positive
Muhammad Waseem, 5 stars ,"Service, cleanliness, portion and taste was great. Enjoyed Savor food after many years and it is definitely better than before.",Positive
Aqeel Nawaz, 4 stars ,I always order pulao on weekend from savour but I think savour is losing its taste. Today I go there and found dine out really phathatic.have to wait for sitting.,Negative
javaid khan, 5 stars ,"Nam he kafi ha hain, Quality food with reasonable price.",Positive
Abubakar Hafeez Official, 5 stars ,Crowded place but have best taste in reasonable prices ,Positive
Zaheer Ahmad, 4 stars ,"Quick, tasty, economical and maybe hygiene too. Liked the taste, as i left eating from here since 2 years but they improved their taste.",Positive
Mehran Iqbal, 5 stars ,"Amazing Services. Before this visit, I also visited many times to their Branch at Islamabad which is in Street Food near Stadium. Savour Food is my FIRST & LAST CHOICE Recommend for everyone Anyone can visit with their Family, Friends, and business members also...",Positive
Happy Prince, 4 stars ,Nyc environment..... satisfactory level of service....and delicious taste,Positive
Nosheen Saleem, 5 stars ,low rates with high tastes and couteous staff,Positive
Usman Sheikh, 3 stars ,Environment was good taste was also but little bit compromise on quality of chicken ,Positive
Muhammad Talha Raza, 5 stars ,Been going here since I was a kid. This is the OG local no brainer restaurant.,Neutral
fahad waheed, 4 stars ,"Plao as always good , but staff needs to be given training regarding their behaviour,  it's wasn't professional",Positive
Nusher Asif, 5 stars ,"Best Indoor & Rooftop (due to Corona) service Their Chicken Burger are yum!!! Chicken Pulao, Ice cream & Tea infact everything is great in taste. Ambience of the restaurant was Best",Positive
Kaleem Ullah, 4 stars ,Economical place to eat good quality food.,Positive
Ali Muhammad, 5 stars ,Very good taste and quality food. Loved its Zarda and rice quality is also good. I recommend everyone to go and have food there. The taste is also different and prices are normal. Shami kebab and chicken piece are also very tasty. Overall I  recommend to must go and visit them in Lahore.,Positive
Zeeshan Ali Rawal, 5 stars ,Very hygienic and noce place to have some tasty pulao.,Neutral
Fawadhassan official, 5 stars ,One of my favourite places...... Best atmosphere best serving good to have in town. Best for family,Positive
Awais Riaz, 4 stars ,The Plauo was good and tastey. Overall Good place to visit with family.,Positive
Malik Younus Faiz Advocate, 5 stars ,Excellent Service and Excellent Food to Have like Chaska or Chasskay,Positive
Khurram Shamsi, 4 stars ,It was OK. Seems like the taste has become mediocre over time.,Positive
Afifa Tayyab, 4 stars ,Only pulao was good. Quantity was more than enough for a person. Raita was thick but salad wasn't too fresh; tea was tasteless. Ice cream was the worst as its taste resembles that of calpol syrup ,Positive
Haroon Mahmood, 4 stars ,"A bit spice this time, but overall a good venue for sasta saaf khana",Positive
Moeed Shahid, 4 stars ,"Not the same taste as Islamabad's Savour, but still very nice.",Positive
Air Excellence Travels, 3 stars ,Service and Quality not good,Positive
Fahad Yousuf, 5 stars ,The only place that still serves fresh water. The prices are quit economical and ambiance is very good,Positive
sabeeha arif, 5 stars ,Pulao fantastic but salad is really cheap they should add cucumbers in their plates.,Neutral
Sajjad Haider, 5 stars ,"Quite a big ra he of food, cooperative staff and adequate parking facility. . very good services",Positive
Ch M Saqib Rafique, 5 stars ,Loved it... Amazing service and Awesome Taste. Full ho jaao kha k...,Positive
Alpha Bhatti, 5 stars ,"Great ambiance, delicious food and friendly staff. Highly recommended.",Positive
Ahmad Shahzaib, 4 stars ,Their environment is great. Food is cheap. No gst which is shocking. And please never try fast food here.,Neutral
Muhammad Tassadduqe Ali, 4 stars ,A good place for lunch with reasonable price,Positive
MUHAMMAD SOHAIB, 5 stars ,Loved it a lot.....cheap and hugenic food....separate family hall....corporative staff....quick service.....famous for chicken plao.....also get gravee.......,Positive
Umair Siddiqui, 5 stars ,Savour food is located opposit to camp jail. This is one of the biggest rice supplies. The design and structure of savour food is almost save in all our the Pakistan. Wheelchair is not accessible when you enter inside you see a biggest …,Positive
special persons need you, 3 stars ,They must improve the taste of rice as they are a Big name . But i didnot find it a fingerlicking.,Positive
Yasir Farrukh, 5 stars ,Good food quality specially broast taste was good even better than lahore,Positive
Muhammad Talha, 4 stars ,"Their ""today special"" ice cream is good but the rice were just average , doesn't justify the hype.",Neutral
Assam Altaf, 5 stars ,"Food was good, but always ask electronic printed receipt of your bill. :-) dont accept manual hand written bills.",Positive
islamicvision, 5 stars ,"Delicious food with reasonable price package ,good manner staff and comfortable sitting environment",Positive
Arslan Saleem, 1 star ,One of the worst pulao ever had. I was there with my wife for dinner yesterday (our first meal on Lahore  trip ). First of all the chicken piece which we want was not available which is acceptable sometimes they can runout of things but the rice was tasteless and the jewel in the crown is the food was not even hot enough the chicken pieces on top was cold i know it’s winter but food can’t be that cold if it’s coming straight from kitchen. Some how i eat it but my wife refuse to eat so i had to take her somewhere else. Never recommend anyone else i don’t know how they get that ratings.,Neutral
Virk SaaB, 4 stars ,"Good and cost effective but rice was not good. Otherwise nice place to visit, specially for roof top sitting.",Positive
Asad Ullah, 5 stars ,Best place for rice lover. Very reasonable price. Crowded but clean environment. Taste 10/10 VOM 10/10,Positive
Ameer Hamza, 4 stars ,Recommended for palao. Very Hygenic and Great in Taste.,Positive
aabida sardar, 5 stars ,"Meal is good, very economical , service satisfactory , a family visit can plan with out burden your pocket and can enjoy meal with family there...",Positive
Tahir Manzoor, 5 stars ,Good food at good price. Famous for its rice. But fast food and ice creams are also  available. Good and easy parking. One IMPORTANT Thing: there is a problem with mobile phone signal some times. As there is district jail on opposite so it's signal jammer some times could affect the in the restaurant.,Positive
Awaiz Amin, 5 stars ,MashaAllah fav taste Is mine favours foood,Positive
Talha Zafar, 3 stars ,Taste was light .... Low spices ... But over all okk ... Piece was real small ,Neutral
Bilal Saeed, 4 stars ,I am not a big fan of Pilaf (Pulao) but savour food's pulao really stands out the rest with their pulao giving a home cooked pulao like taste and with no use of excessive masalas. it's also very pocket friendly as their prices are also not very high and the sitting area is humongous but crowded always. you can also get a Refill on your rice with paying anything extra which is a big plus.,Positive
Mohammad Bin Amir, 2 stars ,"Pulao was so so bad lol, don't know how people even call this pulao. My mum makes better",Neutral
Saleha Khan, 4 stars ,Delicious steam roast. Their pallow was great too,Positive
Abdul Mohyemin, 4 stars ,"Good taste but not excellent, budget friendly",Positive
The Reformist, 5 stars ,"The best taste of chicken pulao rice, shami kabab, raita",Positive
Amjad Khan, 4 stars ,Nice test. Aportable price but the service is little slow.,Neutral
Azam Chaudhary, 5 stars ,"Its best place for chicken pulao, And the best thing is its very reasonably priced, And quantity and quality of food is very good. If you craving for pulao or something simple and non spicy food then you can visit this. One of the best experience. You should try this also.",Positive
Balawal Qayoom, 5 stars ,I love this place awesome environment and meal.,Positive
abubakar jamshaid, 2 stars ,No taste.. economical though but poor taste. Waiter was in angry mood as well. Not recommended,Positive
Abubakar Abubakarabubakar, 5 stars ,One of the best restorent in pakistan,Positive
Rehaan ahmed, 5 stars ,Its a food brand its one office is near to shimla pahari railway road and near naz hospital I didn't purchase any product but hope that its good,Positive
Attiqe King, 5 stars ,I like their rice it's same like I aet at Islamabad totally same taste love it,Positive
Ehtasham Mehmood, 4 stars ,Tried their chicken Pulao. Taste was not as promising as of Rawalpindi. Good value of money and quantity.,Positive
Abdullah Altaf, 4 stars ,Average taste but economical. Nothing special to recommend.,Positive
Riaz Sabir Tv, 5 stars ,Taste is un beatabble amazing,Positive
Omer Satwa, 5 stars ,Very good for family... Testy plow Good service mashallah,Positive
Asghar warraich, 5 stars ,Plao saver is best i like it jb b kbi saver k as jaon to lazmi khata hun,Positive
Syma Khan, 5 stars ,Good experience. Great food good place. Good time,Positive
Muhammad Awais, 5 stars ,much spicier than the one present in islamabad but overall its great,Positive
Muhammad Ali Hashmi, 5 stars ,Savour foods in Lahore is very good and awesome compared to Rawalpindi and Islamabad branches. The building is really good and has plenty of space to accommodate many people. The food is good and the rates are also good. Parking is not …,Positive
Umer Mughal, 5 stars ,"A palce where one can find desi delicious food. Specially, Chicken Palao with Kabaab",Positive
AMIR ALI, 5 stars ,Excellent service with scrupulous food at a very reasonable price. If you want to enjoy good family outing at low budget its the best place.,Positive
Madeeha Afzal, 4 stars ,"Well trained staff, fast service,aroma and taste of rice is excellent, value of your money",Positive
Umair, 4 stars ,It's awesome experience to be there.. fast and best service provider,Positive
Amjad Mehmood, 4 stars ,A good place Especially for Rice Lovers. Good quality of Chicken Pulao & Chicken Birayani.,Positive
Shehroz Bajwa, 3 stars ,Its just ok. I didn't liked it very much due to dryness in chicken and kababs.,Positive
Mian uzair sahab, 3 stars ,They give good service at this moment they arranged open siting,Positive
Muhammad Naveed Saeed, 3 stars ,"It wad great earlier but now quality is dipping. Also i always order my choice of chicken got charged for it but never got my choice with answer ""sorrt that was finished"".",Positive
faheem ahmed, 5 stars ,fantastic food with good service & reasonable price,Positive
Wasim Malik, 5 stars ,always its unique taste and services. Love,Positive
kamran sheikh, 1 star ,Very ordinary poor taste but very cheap. Not sure if I would ever eat ty here again .. Feels like a instuational feed area,Negative
UMER FAROOQ, 5 stars ,Savoour's Chicken Pulao is the best in Pakistan,Positive
Mubashar Saddique, 5 stars ,Ever lovely place they should try to make special pulao offers for more than 2 peoples,Positive
Aqeel Awan, 5 stars ,"Excellent service, friendly staff.... Wheelchair accessible. Busy place due to less expensive with good quality of food.",Positive
Umar Hayat, 5 stars ,Savour which is known a pulao khana. Best quality food with excellent service.,Positive
Dj dark momi, 1 star ,last night i was with my family at savour food. setting out side due to corona etc. the rice quality is very poor not even fresh it like before always and the chicken picec are very hard even with fog is difficult to make them in pieces and main thing rice are very oily very much low quality . i beer eating them didnt complaint because so many families around us.  tell guys what is this if i come again which is i dont think so.,Negative
S. Adil, 4 stars ,"Same consistent taste and quality. A goodbplace , specially when you are short of time and",Positive
Hafsa Ahmed, 3 stars ,"Place is big. I mean big but just in terms of space. Food here is just okay. Staff is not much contributing and need to learn some ethics to talk to people. Anyway, if you are just craving palao, you can go there especially if you are not into eating a spicy one. Otherwise its not that good. Ice cream, however, is good if you ask.",Positive
Syed Ali Ajwad, 4 stars ,Good Place For friends Gathering Food 8/10 Ice cream 9/10 Kheer 7/10 Ambiance 8/10 Staf is Not well trained They Used To stand & taking near you in groups.,Positive
Ayaz Sadiq, 5 stars ,Economical place to eat Fantastic food specially rice and crispy chicken were delicious... Love the food.,Positive
Muzammil Nawaz, 5 stars ,"It's a beautiful restaurant with best services in totality. Customer satisfaction is their top priority for sure. Food is damn good.. We do not have a single point wherein we can raise our concern, it was that good experience..!! The …",Positive
Ruttie Jinnah, 4 stars ,The pulao kebab is really good. The rice are always fresh. They never served old or rotten food. The service is also quite quick.,Positive
Hassan Raza, 4 stars ,"Good and affordable food, but waiters treat customers like dhaba customers... they're not trained.... but food is awesome",Positive
ZeeshXn MehXr, 5 stars ,Stunning place for rice,Positive
zain ali, 5 stars ,I had Very good experience at savour food. Taste was very amazing . Very good Service provided. Definitely recommend ,Positive
Adeel Liaqat, 5 stars ,"Very fine quality food,  all Pakistan famous chicken pulao, not very spicy but have value for money.  Best luxury environment for less expensive food. Other items like burger,  fried chicken,  roast also added value to savour brand.",Positive
Digital Knack, 4 stars ,Good place to visit with friends. Family hall is above stairs. Wide range of traditional pulao. wide range of ice cream and dessert like kheer. Neat and clean environment. But sitting arrangements are not good. Rates are economical. I have attached complete menu. Have a look and enjoy your visit,Positive
Atta mohy ud din, 3 stars ,Place is good but nearby Drain makes it not a healthy place to sit in open area for eating,Positive
ivan ame, 5 stars ,The food and the environment was good covid 19 rules were being followed.,Positive
CMW PK, 4 stars ,Good meal in economic Price.,Positive
Qamar Jee, 5 stars ,I love savour food and its quality super best...,Positive
Yasir Hamza, 4 stars ,Tasty rice with reasonable price. This is mostly crowded. If you want good rice ..go there. If you want some gossip with food.. choose somewhere else.,Neutral
Farwa Sheikh, 4 stars ,Economical place for lunch time especially office staff or college students near to the outlet!!! Also you can have a refill for rice (: Aur kia cahae Overall taste was good !!,Positive
Izhar Syed, 3 stars ,A safe bet. Great food but need to improve level of service.,Positive
Aqeel Aslam, 3 stars ,Rawalpindi branches are much better than Lahore branch. Lot of spices were added making food a bit hard to digest.,Neutral
Attiq Ur Rehman, 1 star ,"Parking Experience (Very bad) - You have to drop off your family out of the parking area. Parking area reserve for bikes only! Taste (Very Spicy) - Not a traditional Pakistani Pulao, low quality chicken and shami kubab. Sitting Area and Service (Average)!",Negative
Ayaz Ahmed, 5 stars ,Perfect for family and friends party. Very clean and great service.,Positive
Ammad Younas, 5 stars ,Economy Food especially you are low on budget and have friends for food party. Must go for savor. Especially rice lovers bhai kitny kha skty ho khao,Neutral
Arish Choudhary, 4 stars ,Having Good quality Food and sitting place but attendants have very unprofessional behaviour very poor service....,Neutral
Hum Tum, 5 stars ,Love the food... Best pulao in town,Positive
Ibro Balti, 3 stars ,Price and quality is best but taste is not so good,Positive
sarah kanwal, 5 stars ,Best palao in lahore. Order 5 ploates of palao for dinner by cheetay app,Positive
BiLal MuGhal, 5 stars ,Their food is of good quality as well as quantity. Fried chicken is also of good quality,Positive
Rana Saqi, 5 stars ,Waiter have not good behaviour because he look customer and we feel uncomfortable please note this,Neutral
Muhammad Saad Ullah XIA I6646, 5 stars ,One of the best economical and tasty desi food outlet. Now they have added fast food and Ice-cream as well. Nice place to visit with friends and with families alike,Positive
Sheikhu, 5 stars ,The best pulao in taste and quality. Ambience is also very good and price is reasonable.,Positive
Adeel Ashraf, 5 stars ,"I visited first time in Lahore branch. Environment was neat and clean, service was good and taste was also good. Recommended place for quick food.",Positive
Hassan Tahir, 1 star ,Pathetic taste of rice. Even the chicken piece was too small in the price of 240. Boiled rice taste is far better than their pulao.,Neutral
Usman Virk, 3 stars ,Typical Savour food restaurant experience. Not like normal restaurant but more like a Dhaba style with fancy interior. Expect Dhaba mentality of waiters and staff. Best to go with the experience with zero expectations and one can get good rice. Prices are on a higher end for such product. Quantity is very good for take away. Dine In not so good as overhead expenses came into effects.,Positive
Hamza Khan, 5 stars ,A Fanta place to dine-in and to come with family. The atmosphere is friendly. The service is good. The building is beautiful. They have one of the best pulao.,Positive
Khizar Khushbakht, 5 stars ,Really loved the atmosphere. Very spacious and lighting was plenty. Waiters are quick on their feet to get you food. Very affordable and delicious food. Even great for families as there's a separate floor for them. Perfect for middle class.,Positive
Ubaid Jutt, 5 stars ,there is one thing that can be said above everything about this place that is: Efficient! I have never seen a restaurant that serves their clients with such speed. It looks like they serve 100s every 15 minutes and their urgency makes you …,Positive
Ali Younus, 5 stars ,Not bad ...but rawalpindi savour is much better,Negative
Arsalan Ayoub, 5 stars ,Delicious taste. Specially Tea was Fantastic.,Positive
Farhat Abbas, 5 stars ,Savour food is nice place to eat i just visit once and ate their rice baryani taste was good as it is cooked in home feel like home made no extra spice nothing else.,Positive
Muhammad Saqlain, 5 stars ,"Same and Excellent taste as i it felt when I ate from savour 13 years back in Rawalpindi branch.. Value for money.. At ur first experience it would taste like just okay,,, but with time you start loving it and then at times you crave for Savour s classic pulao taste..",Positive
Usman Dar, 5 stars ,Best pulao kebab. Still the same quality and taste. Just amazing.,Positive
Adeel Sheikh, 5 stars ,Remind me of my college life in rawalpindi same taste and experience,Neutral
Erum Iqbal, 5 stars ,Very nice place. The food quality was excellent. Simpaly loved.,Positive
Shoaib Munir, 5 stars ,"Simple rice, awesome sitting and icecream is superb.",Positive
Ahmed Jalal, 5 stars ,Because the enviroment was very good they were acting upon all the sop's of covid and I love their food,Positive
Asim Chishti, 5 stars ,As ususal its awsome,Positive
zeeshan arshad, 5 stars ,Tasty food and nice sitting place in economical price,Positive
Nasik Abbas Bangash, 5 stars ,"Love the taste of rice there. Loved it in all branches in Lahore and new Per-wadaye brach Rawalpindi, but the one in Islamabad is  one of its kind. One can't resist not going there when visting ISL. Keep up savour.",Positive
kashif raza, 5 stars ,"very good food nice branch ac chilled in the month of may management is very good at savour foor , the way they handle too many people at a time and serve them food with smile is lovely",Positive
Arshad Nisar, 5 stars ,Chicken Pulao was very Tasty Savour Food is best Place for Family,Positive
Muhammad Saad, 5 stars ,"They are famous for their rice, always taste the same. Fair price and good quality, at least try once their Zarda as well.",Positive
Hadi Khan, 4 stars ,Good for family and friends. Yet it's pulao not biryani and the pulao too is not that much outstanding. Yet the chargha and other things are mucb better and preferred. Good for family and clients gathering.,Positive
Felix A. Green, 5 stars ,Overall savour food is great place for quality food.,Positive
Shahzad Khan, 4 stars ,Ordered chicken roast and palow. Palow was good but chicken was hard and dry.,Neutral
Ashraf Nazir, 5 stars ,Good stuff and cool environment. Chicken Palao is very tasty dish. Ice cream not good in this place.,Positive
zubair qasim rashdi, 4 stars ,Good taste with reasonable prices.  Well maintained and cleanliness.  Very good service.,Positive
R Q, 4 stars ,Good quality food. Poor service and quantity was less as to what it used to be,Neutral
Amna Nadeem, 5 stars ,They have fresh dairy ice... Cream .... It's taste is just awesome ,Positive
Ahmad Raza, 5 stars ,Taste is best as always.. Prices are so affordable.. You get the good food in such low price,Positive
Muhammad Umer yousaf, 5 stars ,"I have always been in love with this place because of its ambience, interior and well mannered staff. Moreover the quantity of food with respect to price is quite reasonable. Highly recommended",Positive
Hack & Fight, 5 stars ,Savour food restaurant is good for rice.,Positive
Shaukat Baloch, 5 stars ,"A great place, well furnished well mannered. Staff was friendly and professional. Meal was delicious .",Positive
Mian Asadullah, 4 stars ,It's not a pulao but rather delicious rice.,Positive
Haroon Tayyab, 4 stars ,The same quality with hygienic measures. ,Neutral
Hussein, 5 stars ,Very nice place with good food and very affordable prices. Recommended.,Positive
Trend Farming, 5 stars ,Wonderful Place with Reasonable Prise Products.,Positive
JUNAID MASOOD, 3 stars ,Only PULAO is good Rest is below average..,Positive
Arslan Sattar, 5 stars ,Savoy plao best plao,Positive
noman ali, 4 stars ,"Rooftop sittings and outdoor sittings open because of SOP's. Good ambiance,  tasty food, most reasonable prices in the menu",Positive
Arbab Says, 5 stars ,"Best quality food available here, i really enjoyed.",Positive
salman Khalid, 5 stars ,Good ambience with cheap food having outstanding quality,Positive
