Name,Rating,Comments,Sentiment
Nyla Khan, 5 stars ,"Totaly outstanding  place. One can see  whole Islamabad. U get to  enjoy two different experiences  day light view is one and night time view another. Can't  explain must go n look for yourself. And food is up to the mark .very tasty, clean properly served. Staff is very cooperative and humble. Went there for breakfast  also for lunch n dinner  every item  is great, especially  there chicken n meat kebab  . Love the place.",Positive
ilyas sufi, 5 stars ,Loved it. But not allowed to dine in due to the pandemic. But they served food in our car.,Positive
Usman Awan, 4 stars ,"Extremely courteous staff, our requirements were heard properly and they provided whatever best they can... food got a bit cold due to strong wind that day but I will pass it as of now... food was good not extraordinary but satisfies your belly ",Positive
Waleed Ahmad, 5 stars ,We really enjoyed in Monal. It is really nice place to have fun. Food was below average.,Positive
Muhammad Ali Ameen, 5 stars ,Excellent place for dinner if you want quality food and enjoy the cool breeze along with a beautiful view of Islamabad. Just give it a try..,Positive
Tooba Tanveer, 5 stars ,"Monal is amazing, you don't go there for food but for the views & experience. Food ain't bad though.",Negative
T Azam, 5 stars ,MASHA ALLAH excellent and lovely restaurant for all family and friends. Highly recommending to everyone,Positive
Fahim Uddin, 5 stars ,"Heaven for adventurous foodies. This is an ultimate destination for all visitors to Islamabad. Food quality, taste and service is 10/10. You'll love every minute of your stay at this beautiful place. H I G H L Y R E C O M M E N D E D ",Positive
Maham Faryal, 4 stars ,It's the first place people want to visit if they are new in Islamabad The food is delish especially in the Sunday Brunch  With a WIDE variety... The best restaurant in the best capital Keep it up Monal. Although prices can be reduced.,Positive
Ali Rizvi, 5 stars ,"Best Restaurant in Pakistan. Come right before sunset for a magical view. The food is great and entertainment is live and on point. the prices are high for Pakistani standards but fair for international as this is on par with Pakistani restaurants in NYC cost wise but without the hygiene standards,taste and views.",Positive
Muhammad Jawwad Khalid, 5 stars ,Perfect place. Very good views. A must visit place for anyone visiting Islamabad. Road is quite steep so one should be careful while going there. Sitting place is very good with whole view of Islamabad. One should visit there at sunset for a good view. Food was good too and presentation was perfect. Prices are a bit on higher side,Positive
Adnan Haider, 4 stars ,The open dinning area at this place provides you with a charming view of Islamabad with good taste food according to Islamabad norms/standards. The restaurant  is well managed. It's somehow overpriced but the scenery compensates it. Overall it's great place to visit given that it's near Islamabad.,Positive
Ansari 786, 5 stars ,That was the most beautiful restaurant I have ever visited. The location is soo beautiful you can see the whole Islamabad from monal restaurant and the weather is outstanding there.,Positive
"Muhammad Ramzan, Tariq", 5 stars ,"Situated at the top of Margla Hills, Best and adventurous way to go via Hiking trail-3. But keep some food items with you because its  not for middle class. (Rates are too high).",Positive
Mubashir Hussain khan, 5 stars ,"It is a very good place, there are very good views and the whole of Islamabad can be seen. The food is very delicious  love it ",Positive
Atta ul Momin, 5 stars ,Very beautiful view. Food quality was awesome and services were as good as 5 star,Positive
Maria Zahoor, 5 stars ,Place like haven on earth in evening ISB looks Like stars on earth beautiful place and peace... Best for refreshing mind,Positive
muhammad sheeraz, 5 stars ,View is awesome. Dinner is Ok but who cares about the dinner when u have a wonderful view of the city,Positive
Shahid Kakar, 5 stars ,"Pleasant environment, fresh air, beautiful scenery to see. You can see whole Islamabad at one glance",Positive
Hunain Mehmood, 5 stars ,Excellent ambiance. Great view. Great food.  Proper sanitization and COVID safety measures going on. Would recommend 5/5 for outdoor dining.,Positive
Sana Atique, 3 stars ,"Value for money is extremely high as compared to the taste they are providing. Wasn't too impressed with the service, neither the food.  Only the cheese naan were good ,  Lebanese platter is better as compared to the other food.",Positive
shahz khan, 4 stars ,Amazing place with scenic beauty all around Food quality is not that good and detoriating Prices are TOO high!!! Five stars for ambiance and scene all around 2 stars for Food quality,Positive
ZEESHAN ANJUM, 5 stars ,Very Good & tasty  food  beautiful view ,Positive
Muhammad Mansha, 5 stars ,"I took my staff out for celebrating the new year's eve. Monal has always been a place I could be myself. My staff (who has never been to Monal before) didn't see it coming. They all seemed to enjoy the place. But more than that, the service …",Positive
Ahmed Nashrah, 5 stars ,The food was great but the most amazing part was driving to the place. Driving through the mountain roads with mesmerizing view of the mountain as well the Islamabad city. The weather was really cold up in the mountains but they had heaters …,Positive
Amber Fareed, 5 stars ,At first I thought going to Monal would be totally absurd but it was totally worth it. At first I went to Daman E Koh then I went to Monal. The place is great and the food is excellent too. I loved it! Must visit.,Positive
Malik Muhammad Naveed, 5 stars ,It was a memorable Tour To The Monal Islamabad. The Place is a peice of Heaven..,Positive
Azeen Mustafa, 4 stars ,"As usual it was extremely crowded. Even in the times of corona, we had to wait more than an hour to get seated. The parking also had a queue, even though we opted for vallet parking. Other than that the food and service was excellent. There …",Neutral
HASSAN ALI, 5 stars ,This is best place I have visited many times when you come Islamabad must visit this place with your friends and family and enjoy food also.,Positive
Talha Sheikh, 3 stars ,"had an unexpected plan with my fren to visit monal, we traveled all the way from Faisalabad, but the effort wasn't worth it. if you wanna enjoy visit this place in evening or night :)",Positive
Bint e hawa, 5 stars ,Perfect location with serene mountain top with a bird's eye view of the capital of the country for dinner as well as for brunch. The food quality is also quite good. The place is group friendly and they play live music (well most of the …,Positive
Muhammad Abid Khan, 3 stars ,Beautifull Place amazing view of Islamabad & also delicious food of Monal Restaurant.... Recomended to visitors,Positive
Shariq, 5 stars ,"While visiting the Northern Pakistan area, we also stayed in Islamabad and wanted to come to The Monal for the amazing views while eating! To our surprise the food was spectacular and the ambiance was beyond beautifully decorated! Most definitely we will be back when visiting Islamabad!",Positive
abdullah abid, 4 stars ,"Place is good for sitting, food was not that good its as usual as you can find in any restaurant in islamabad. Price was little bit to much but overall you might enjoy the experience",Positive
Waqas Gul, 4 stars ,Its a good place bit expensive. Very beautiful location. One can be mentally fresh as it is too spacious and have big dinning area. Good parking space. One would enjoy the driving as well as it is in the middle of green mountains. You can have a bar b q as it is too delicious,Positive
Waqar Ahmed, 4 stars ,"Just had dinner here, very good place with bird's eye view of ICT. Food was good just try continental and chienese platter here. Syrup of Choclate brownie was too sweat.  Highly recommend if you want combination of good food and good environment with natural view.",Positive
Aqeeb Asif, 5 stars ,"Beautiful scenery all around the restaurant and the food is delicious, but the prices are much higher.",Positive
Hafiz Nauman Zafar, 5 stars ,An awesome place with great ambitions. Great love,Positive
Mr. Tani, 4 stars ,It was nice as always but this time i don't like the food they served nor the service they have provided. We ordered half shahi platter and deal for kids. Nor us not my kid like the food.,Positive
Aroosh Farrukh, 3 stars ,It's a super good place as far as view of the restaurant is amazing but if I tell you about the food quality and ambiance it's real poor! Food was drastically disappointing. We ordered namkeen karahi wch had a bad smell that we couldn't eat …,Negative
Ali Dhillion, 4 stars ,Atmosphere. Location and views are beautiful. Went for breakfast was over priced and puri was oily and a omelette little tasteless. Aloo were delicious but the staff and the views made up for it. Definitely a place to visit and experience,Positive
Faisal Jamil, 5 stars ,Great place with great environment. The food is delicious and the service is awesome. You can enjoy the view of whole Islamabad city with delicious food.,Positive
Tariq Memon, 5 stars ,Amazing view V v beautiful place Rates are high but if u take deals or Rs 865 each than these deals includes drinks and dessert also,Positive
Asad Aziz, 2 stars ,Went for breakfast buffet. Below quality food. Everything was cold and taste was below average. It’s not how Monal used to be I have been there a lot of times but these days it’s food is worst then a street restaurant. 2 stars only for ambiance and view,Negative
Aamer Hayat, 5 stars ,"It's perhaps the top most restaurant choice in Islamabad. View, menu, service, taste everything is top of the line. The prices are high but you have to pay for quality, it makes sense.",Positive
Ali Saeed, 4 stars ,Best scenic view in town. Great place. Food is good but the price is on very high end.,Positive
Every Updates, 5 stars ,Very Best Hotel for Tourism and also you can enjoy Hiking to Monal Hotel by the way.,Positive
Hamza Altaf, 4 stars ,Best atmospheric place for having a great meal especially dinner to enjoy the atmosphere and ambience around. It's so packed that usually you've to wait for sitting.,Positive
zafar Ullah, 4 stars ,Good place to view Islamabad in a glance. Hiking up there is a hectic job. Monkeys are furious here. Don't try to make contact with them. Scared them just showing a stone,Negative
Saad Mukhtar, 4 stars ,Environment is great. Food with lots of variety. Every item is fairly good. Good location for family seating,Positive
Mirza Abeer, 5 stars ,"Amazing food with a view. Must visit if you are in Islamabad. Do not leave without having a paan, they have some of the best tasting paans in the country.",Positive
Teen Agers, 4 stars ,I love the ambiance Taste was also nice Or sara paisa View k hain,Positive
dogs with manners, 5 stars ,Amazing location if you are here you are not going to regret,Neutral
Asrar Ahmed, 5 stars ,Had a great Evening time there at Monal Restaurant.... Romantic weather Romantic view Best place ever found in Rawalpindi Islamabad era....,Positive
Farah Sidd, 4 stars ,Very family friendly clean environment with following all Sops and facilities.good food too,Positive
Daud i, 3 stars ,The food is fine. The view is good. Had 719 from the menu and it was ok.  The mint lemonade was average. I have had a better mint lemonade in Karachi.,Positive
Atif Chaudhry, 3 stars ,"Great staff, amazing views and good service but the food taste was average. We ordered a variety of food which were all average. Staff were really helpful and attentive even when the restaurant was really busy on a statue day evening",Positive
Kamran Naeem, 1 star ,The arrangements for dinner were poor. Staff behavior was good. View is fabulous but they don't deserve the credit for it.,Positive
Ayaz Khan, 5 stars ,Monal is awesome and must for every time someone visits Islamabad. The ambiance and the setting is mind blowing. Now although you have a lot of competing places opened up but the crowd it still gathers is amazing. Try to reach before sunset …,Positive
Explore Saudi Arabia, 5 stars ,"Its a must place to visit whether you are local or foreigner. The natural beauty of this place is mesmerizing. Whether you come in day or night, summer or winter you will never regret. The only bad thing is that road is dangerous because …",Negative
Syed Moiz Raza -USA, 5 stars ,"Awesome Restaurant with an ariel view of the valley below. Great food, prices, service and music.",Positive
Saleem Raza, 5 stars ,Great place to visit on weekends. View of Islamabad is great on clear days. Service is very good. Quality of food is excellent and not too expensive,Positive
Sam J, 5 stars ,I love that place very much. Naturally so calm. Looks like heaven,Positive
See Math, 4 stars ,Serenity and good food makes monal always a good choice to spend an evening there.,Positive
riffat minhaj, 5 stars ,I loved the place . The view at night is so beautiful.  The have fire pits and blankets to make us comfortable.  The food was warm and fresh.,Positive
Majid’s Pawn Shop, 5 stars ,Sensational food and amazing service. I remember it being cold and one of the waiters brought a blanket for me. I had a deep dish pizza and the other visit I tried their karahi & biryani. Enjoyed all of them,Positive
Naveed Khan, 5 stars ,"A perfect place, indeed a must visit place in the capital of Pakistan (Islamabad) where everyone will enjoy a nice and tasty food (all kinds) and everyone can have an overview of this beautiful Capital, Islamabad. Be carefull while driving to and from.",Positive
Ali Arsalan, 5 stars ,if you ever plan to visit Islamabad you must have to visit monal it is a very beautiful place for dine in or just randomly visit to see the sunset. the weather here is always good. the way to get here is to beautiful.,Positive
Naveed Ahsan, 5 stars ,Monal restaurant is one of the best place to visit with family and have quality food there. Restaurant is expensive but quality food is served there. View of Islamabad is amazing from top of the restaurant.,Positive
Khyber Khan, 5 stars ,"A renowned restaurant located in the Margallah Hills of Islamabad, the capital of Pakistan. Offering variety of traditional & international dishes in menu and buffet. In addition to this different varieties of coffee, tea & flavours of ice cream are also offered.",Positive
M JUNAID Khan, 4 stars ,Nice and beautiful place for spending quality time,Positive
All's Good, 5 stars ,One of the places to explore if you were an outsider or foreigner. I would definitely recommend that place. You can have an amazing view with delicious food up there.,Positive
Natura arbor flos, 5 stars ,"This place needs no introduction. I rate it the most beautiful place of Islamabad as it gives the mesmerising view of twin cities Islamabad n Rawalpindi at such great height of مارگلہ hills.... Its a treat to be here and its a place for everyone..... Dining, photography, family time, tourism everything find here....",Positive
Haziq Style, 4 stars ,"Going to Monal is one thing to enjoy and eating there is another, make it a perfect match.",Positive
Rana Ahmad, 5 stars ,An Amazing view of islamabad from there.  Food taste is also good. I very peaceful place. Located at the top of Margallah Hills.,Positive
Taha Sanpai, 2 stars ,It was just not worth the money. I mean the view and scenery was 10 out of 10 and the food was also pretty good with much variety. But still it wasn't worth the bucks. Like it is SUPER EXPENSIVE. U could also get about the same view On the outskirts of the restaurant or on the rest of the Mountain. DUH... The food wasn't from heaven... It was just normal good food. I won't say that it wasn't tasty but just Not Worth The PRICEEEEEEE!,Positive
Huma Aziz, 3 stars ,As many knows that this is one of the most visited spot in Islamabad especially on weekends. If you plan to go on weekends then an early visit is better.,Positive
akasha shahid, 4 stars ,Nice place with extra ordinary views and scenes. Enjoyed the 1 meter long kabab..,Positive
Asadullah Khan, 4 stars ,"Great place to dine, serving slow on Sundays otherwise good quality is good view and ambience is excellent",Positive
The Amazing Siblings, 5 stars ,"Beauty at its peak A worth visiting place for the entire family.  A complete package... scene, food, snacks and above all gola ganda.",Positive
Faran Butt, 4 stars ,6/10 for food quality and 10/10 for beautiful view.,Positive
Saba Sami Khan, 5 stars ,Best place for view and eat steak with pina colada ,Positive
Mohsin Alam, 5 stars ,A great place to visit. Food is very reasonable while the actual attraction is the background views,Positive
Adnan Malik, 4 stars ,The staff is v helpful and courteous. I have always preferred visiting it for birthday party or to have a nice dinner,Positive
Hina Zafar, 2 stars ,Steak was overcooked. Pizza dough was super dry. Served without any sauces for Pizza. When asked for sauce they took 15mins and finally told us don't have sauce. Pizza was already cold by then. They agreed to take back pizza. Location was great though.,Positive
Zunair Aftab, 5 stars ,Food was fresh n hot. Kababs were so juicy  5/5 for the view,Positive
Dr.junaid Mehboob, 5 stars ,"It is a stunning point at top hill of Islamabad , I haven't seen such a magic scene around the world.  twin city shine like star. Monal is uniquely designed to make your trip a memorable. Enough parking, heater arrangement in the open …",Positive
Huzaifa Zulfiqar, 5 stars ,A great place to see entire Islamabad..,Positive
Sana Riaz, 5 stars ,"Best ever restaurant i have visites so far. The location, the food all r extraordinary",Positive
DrSaba fatima, 4 stars ,Ambience is perfect so mesmerizing. Beautiful views both in the day and at night but better get there when it's not that dark. Food was fresh and good didn't liked Seekh kababs though.Worth giving it a visit.,Positive
Anjum Cheema, 5 stars ,Unbelievable spectacular views of Islamabad from high in the mountain. The  vibe in the restaurant is perfectly chilled and atmospheric. Service was excellent and the food was really nice and well presented. Eating on the terrace with the whole city sprawling out beneath you is worth the visit on it's own.,Positive
Nukhba Rajput, 5 stars ,I am in love with this place. It has a beautiful view sight and place to enjoy make you feel fresh ,Positive
hammad ali, 5 stars ,Awesome place to visit with friends and family.It has a mesmerizing view from Top of Islamabad.,Positive
Raza Haider, 5 stars ,A fabulous view point for capital city. Islamabad. And delicious food with romantic entertainment,Positive
Junaid Tanveer, 4 stars ,"Have been to The Monal, Islamabad for 5,6 times now.Personally, I had a great experience every time.  The Monal is still unparalleled in its exotic location and ambience.Outdoor dining is a delight in summers.It offers various cuisines; choosing a dish is a difficult task with so many available options.The service is good, can be better. Limited parking space is available, however valet parking exists so not that much of an issue. The thing I like about Monal is that its food does not disappoint and compared to other restaurants in Isb, its serving portion is generous.",Positive
Dr. Naveed Anwar, 5 stars ,"Wonderful place for family get together, official meetings, birthdays, friends gathering in a very cozy environment. The Monal gives an extraordinary aerial view of Islamabad City.  Magnificent and soul soothing view   Highly recommended for all events ",Positive
Farasat Hussain, 5 stars ,Breakfast Plater was good. I will suggest enough for 2 persons. Taste was awesome,Positive
syed arif, 5 stars ,"Excellent views of Islamabad,  tasty food of all kinds continental,  fast food and BBQ,  best customer service.",Positive
Anas Mirza, 1 star ,"Only ambiance is good , tasteless and expressive food",Neutral
AZ Tixxx, 5 stars ,"A lOt Of love fOr this place  magical veiw in evening. Matchless taste ..., Perfect taste In all menu items  but costly for Pakistanis but fair for international standard.",Positive
malik Aurangzaib, 5 stars ,Amazing scenes; felt jolly to visit the plaxe,Positive
Saad Ahmed, 5 stars ,"Nice Sunday Brunch Buffet, Ala Carte Menu pretty expensive",Positive
MOHAMMAD ZOHAIB HUSSAIN, 3 stars ,Hygiene environment. Food was good. But expensive. Nice view of islamabad from height.,Positive
Nafeesa Gohar, 5 stars ,"Dine in was available then, I don't think it's available anymore. Good food, great view n amazing company can do wonders.",Positive
Shahzad Ahmed, 5 stars ,"Ambiance so much pretty, live singing make my evening so much romantic. But over charged with normal taste.",Positive
Zeeshan Qadri, 5 stars ,Very Beautiful and attractive place.monal is on Nature gift high and green mountains with heavy wind and rain most of the time. I love it.,Positive
Fotomatic Studios Production, 5 stars ,"A very good place to have some food with ultimate quality and taste. Sitting on top of the Potohar, nestled against the pristine Margallas, and looking over the plains of Peshawar and Lahore, the brick and mortar of Islamabad may be modern, but its culture and traditions are embedded in the centuries of our history that have unfolded between the ranges of Khyber and Bolan and the valley of Mehran. And in many ways, The Monal – named after a pheasant of rare and exquisite beauty dwelling a little further north – epitomes this amalgam of the modern and the ancient. The resort is a touch of modernity set in pastoral idyll. Situated at a height of about 1173 meters above sea level, it is equipped with the latest facilities, but offers an ambience cultivated by heritage.",Positive
Aamir Inam, 5 stars ,Unique sightseeing place especially at night to see whole Islamabad from above. Great ambiance and food was good. Expensive place though but worth going.,Positive
Muhtada Ali, 3 stars ,AVERAGE FOOD. 5 stars for the view ( only if you are able to get a seat near the terrace? Service and environment is good.  Want to enjoy some view.  Visit the place Don't go if you are going fir foos,Positive
Tahseen Rehman, 4 stars ,"Located in the heart of islamabad Margalla Hills Great location mesmerising view , Excellent food and excellent service. Especially I liked their policy of giving extra 10discount to the guests who don't waste food in their plates.",Positive
Ahsan Waseem, 5 stars ,"To be honest i have never liked the food here. But the ambiance, the view and the weather is so great specially in summers at night time that the food quality doesn’t matter. Love this place. And one more tip. Just go for their Platters to save yourself a-lot of money.",Positive
AFNAN ULLAH, 5 stars ,It was great spending time with friends at the top of capital city. The food is very delicious but costy.,Positive
Rabea Fatema, 5 stars ,Monal is a lovely dine out area. Food is delicious. Service is so good. Ambience and views are awesome.  %recommended!,Positive
Mir Quasmi, 5 stars ,"Beautiful, amazing, relaxing, enjoyable",Positive
Aamir Shahzad, 4 stars ,"Awesome place to visit, nice food nice location good music, staff was cooperative and educated, we've ordered buffet and as per their promise we've got 10% discount on to do not wast food offer, I would suggest everyone to visit at enjoy the meal.",Positive
Sadya Zeeshan, 5 stars ,Excellent food. 10/10. Not to mention the view. Its breathtaking.,Positive
Aisha Usman, 5 stars ,"With such a breathtaking view on your side and piping hot ,fresh food which tastes nice, monal is surely the place to visit when you're in Islamabad.  Even the way up to the restaurant itself is mesmerising .",Positive
Kulsoom Mehmood, 5 stars ,A cozy resturant in the mountains of pirsohawa away from the chaos of city. Beautifully designed area and seatings to enjoy the aerial view of Islamabad. Road to the monal resturant through dangetous mountainous cuts add charm to the trip. Food is really delicious and justify the hype... A must visit place if you are visiting Islamabad.,Positive
Hifzan Yaqoob, 5 stars ,One of the best places to visit in Islamabad area. Beautiful and calm place to take food with amazing food. Loved it.,Positive
Muhammad Abubakar Siddique, 3 stars ,Take care When placing order Check crockery if these are properly clean And there are no cracks Spend some time and enjoy your meal,Positive
TJ's Diary, 4 stars ,Amazing ambience! Good qualitybof food. A little pricy for desi food but worth a visit..,Positive
Zubair Ali, 5 stars ,Gorgeous..food is pricy but breathtaking views make up for it,Positive
Omer Ali, 5 stars ,If you want perfect location with beautiful ambiance than go for Monal,Positive
Sarah Chinoy, 5 stars ,The view from this place is amazing !! Tree House offers Lovely and scrumptious breakfast platters which can light up your day  ,Positive
Maria Iqbal, 3 stars ,food was litrally not good xcpt brownies... but tea was also appreciate able,Positive
Usman Nawaz, 5 stars ,Excellent food. Whenever you go for brunch. Always go at 10 or 11 am. Then you get the fresh food. 5 stars for my side,Positive
Muhammad Faisal Abdul Majeed, 5 stars ,"A serene and hospitable place. Definitely worth a visit. Really impressed by the friendly attitude of the staff, especially Kashif who was managing our table.",Positive
Basharat Ali, 5 stars ,Best Place to have dinner at Islamabad with a great view of whole city. I think this is the highest restaurant in Islamabad. Food was great. Soup was Ok but Prawn and Lamb chops are the best. A bit pricey but worth it if you can get a view side table. If you want a view side table better get reservation as it will save lot of time.,Positive
Shahid Malik, 4 stars ,The monal way. #lights #love #quality hangouts and gathering #Islamabad # city of greenery #city of peaceful people #youlive only once # work for the passio#design your life in your own way # multitudes # nights #hight # topups # mosque of …,Positive
Kashif Naseer, 5 stars ,Monal is the place to eat the best with natural beautiful scenes. This is situated at the hill and it's fun to reach here. Their barbeque platter is very delicious which has lots of  stuff to eat. Highly recommended !,Positive
Assam Altaf, 5 stars ,"Best place to dine in, my best timing is always sunset time. Price is much high but worth it. I always prefer view side tables. They are following SOPs",Positive
Ahmad Jamil, 4 stars ,Monal Restaurant situated on the top of the mountain. Very peaceful place and the quality of food is excellent.,Positive
Malik Umer, 5 stars ,Awsome place and lavish khana ,Positive
Rao Galleries, 5 stars ,Rush today fue to muree road closed,Neutral
Shams Al Habibi, 4 stars ,It’s a great experience with family or friends. With such a stunning views of Islamabad from the maintain Margalla Hills.  When we arrived we were served with nice and refreshing Mint Mojito drinks with cheese naan bread. Which I must admit …,Positive
Nimra Iftikhar, 4 stars ,"The most beautiful views of Islamabad city and the hills. Food is alright but service is really good. Must see for people traveling to Islamabad, esp during sunset time.",Positive
Shakeel Asghar, 5 stars ,Visit for  fantastic food or View of Islamabad,Positive
shahzad Choudhary, 5 stars ,10 out of 10 food amazing variety good portions and a view out of this world ,Positive
Salma Makhani, 4 stars ,Delicious food but wasn't open for dine in we had to take out.,Positive
Sumaira Kiran, 5 stars ,It was v nice experience dinner at monal v nice food and environment..the view from Monal is awesome..Highly Recommended..,Positive
Mian Zubair, 5 stars ,Love it .. amazing night view off Islamabad from moanl Excellent taste i love it 5,Positive
Mohammad Hussain, 5 stars ,One of the decently maintained restaurant in Islamabad with an extensive variety of foods and beverages!,Positive
Dilawar Jafri, 4 stars ,"Pleasant weather, great ambiance, delicious food. Must to go once. Important is not to forget advance reservations....",Positive
Asif Iqbal, 5 stars ,"Best place, which is worth seeing, if you are going to visit Islamabad's surrounding.",Positive
Ayaz Ahmad, 4 stars ,"Islamabad view from Monal is GOLD. Tried their fresh orange juice, absolutely loved it. Good place for families, good safe environment",Positive
Ayaz Aziz, 5 stars ,"Sunday Brunch is the speciality of Monal. Although we do visit Monal at night also and beside enjoying the specific taste of food we enjoy the beautiful night view of Islamabad with scattered lights. However, the variety of food with …",Positive
S A L M A N, 5 stars ,World Second Most beautiful Capital City,Positive
PHYSICS CRAZE, 4 stars ,Food was not so good. The only good thing is the view point. Nothing else,Positive
Farid Saleem, 4 stars ,"Excellent view, ambiance and taste But the rate is a bit higher than the market",Positive
Ihsan Ali, 5 stars ,Awesome place.. perfect atmos. Best for outing.. but expensive.. i had dinner buffet at la montana also that was great there. Both hotel are at same place.,Positive
Qasir Javaid, 4 stars ,Nice view food was ok parking was hard enough to park,Positive
Burhan Khan, 4 stars ,"Beautiful view, awesome ambience, food quality is very good, not enough quantity though, service is excellent",Positive
UsAmA AhMeD KHAn, 5 stars ,Too expensive But isb city view owesome Maza ajata hy bnday ko,Negative
Mughees Abbas, 5 stars ,It was a nice experience. Very good place.must visit,Positive
Touseef Fatima, 5 stars ,A Must visit place in Islamabad. slightly expensive but real adventure to go there. Be careful to drive.,Negative
Madiha Ahmed, 1 star ,"The view is good but the food was pathetic. Highly overpriced with no taste. We ordered a steak and it arrived completely cold with the beef hard like plastic , over salty and without any taste. They had written mashed potatoes but it came …",Negative
Malik Nauman, 5 stars ,An awesome place to visit with family or friends .... Delicious cusine and best service provider ... An awesome natural view and Islamabad View its really fantastic experience ...,Positive
Ayesha Gohar, 5 stars ,A perfect place to eat and to enjoy the beautiful view of Islamabad,Positive
salman haider, 5 stars ,Excellent place for a Hi-Tea on a beautiful rainy day.. Enjoyed every bit of it.,Positive
tayyab tahir, 5 stars ,I liked it must. The route to monal is too exciting. And the view from monal to down towards islamabad is awesome.,Positive
mahnoor ali, 5 stars ,"Best place for an outdoor experience with good food, and fast services.",Positive
